Scenario,Experiment,Model,Method,CovGap,AvgSize,F1 Score,CovGap_mean,CovGap_se,AvgSize_mean,AvgSize_se
s1,s1_1,Random Forest,Standard,0.03 (0.007),2.03 (0.082),0.72,0.03,0.007,2.03,0.082
s1,s1_1,Random Forest,Classwise,0.03 (0.003),3.80 (0.092),0.72,0.03,0.003,3.8,0.092
s1,s1_1,Random Forest,Clustered,0.03 (0.007),2.06 (0.086),0.72,0.03,0.007,2.06,0.086
s1,s1_1,Random Forest,Augmented,0.03 (0.005),2.17 (0.027),0.72,0.03,0.005,2.17,0.027
s1,s1_1,XGBoost,Standard,0.05 (0.006),1.81 (0.046),0.71,0.05,0.006,1.81,0.046
s1,s1_1,XGBoost,Classwise,0.03 (0.004),3.15 (0.111),0.71,0.03,0.004,3.15,0.111
s1,s1_1,XGBoost,Clustered,0.04 (0.006),1.86 (0.049),0.71,0.04,0.006,1.86,0.049
s1,s1_1,XGBoost,Augmented,0.04 (0.005),1.76 (0.018),0.71,0.04,0.005,1.76,0.018
s1,s1_1,MLP Neural Net,Standard,0.04 (0.006),1.44 (0.037),0.81,0.04,0.006,1.44,0.037
s1,s1_1,MLP Neural Net,Classwise,0.03 (0.005),3.40 (0.068),0.81,0.03,0.005,3.4,0.068
s1,s1_1,MLP Neural Net,Clustered,0.03 (0.006),1.47 (0.040),0.81,0.03,0.006,1.47,0.04
s1,s1_1,MLP Neural Net,Augmented,0.04 (0.006),1.43 (0.014),0.81,0.04,0.006,1.43,0.014
s1,s1_2,Random Forest,Standard,0.06 (0.005),2.59 (0.082),0.66,0.06,0.005,2.59,0.082
s1,s1_2,Random Forest,Classwise,0.02 (0.003),3.73 (0.091),0.66,0.02,0.003,3.73,0.091
s1,s1_2,Random Forest,Clustered,0.06 (0.005),2.64 (0.082),0.66,0.06,0.005,2.64,0.082
s1,s1_2,Random Forest,Augmented,0.02 (0.004),2.98 (0.028),0.66,0.02,0.004,2.98,0.028
s1,s1_2,XGBoost,Standard,0.05 (0.005),2.17 (0.067),0.72,0.05,0.005,2.17,0.067
s1,s1_2,XGBoost,Classwise,0.03 (0.003),3.45 (0.082),0.72,0.03,0.003,3.45,0.082
s1,s1_2,XGBoost,Clustered,0.05 (0.005),2.22 (0.064),0.72,0.05,0.005,2.22,0.064
s1,s1_2,XGBoost,Augmented,0.03 (0.004),2.20 (0.020),0.72,0.03,0.004,2.2,0.02
s1,s1_2,MLP Neural Net,Standard,0.03 (0.002),2.49 (0.035),0.67,0.03,0.002,2.49,0.035
s1,s1_2,MLP Neural Net,Classwise,0.03 (0.003),2.80 (0.034),0.67,0.03,0.003,2.8,0.034
s1,s1_2,MLP Neural Net,Clustered,0.03 (0.002),2.52 (0.034),0.67,0.03,0.002,2.52,0.034
s1,s1_2,MLP Neural Net,Augmented,0.03 (0.003),2.04 (0.012),0.67,0.03,0.003,2.04,0.012
s1,s1_3,Random Forest,Standard,0.08 (0.008),2.61 (0.083),0.62,0.08,0.008,2.61,0.083
s1,s1_3,Random Forest,Classwise,0.03 (0.003),4.43 (0.090),0.62,0.03,0.003,4.43,0.09
s1,s1_3,Random Forest,Clustered,0.08 (0.008),2.60 (0.085),0.62,0.08,0.008,2.6,0.085
s1,s1_3,Random Forest,Augmented,0.04 (0.005),3.27 (0.033),0.62,0.04,0.005,3.27,0.033
s1,s1_3,XGBoost,Standard,0.06 (0.006),1.95 (0.071),0.73,0.06,0.006,1.95,0.071
s1,s1_3,XGBoost,Classwise,0.02 (0.003),3.35 (0.097),0.73,0.02,0.003,3.35,0.097
s1,s1_3,XGBoost,Clustered,0.06 (0.007),1.95 (0.080),0.73,0.06,0.007,1.95,0.08
s1,s1_3,XGBoost,Augmented,0.04 (0.005),2.07 (0.022),0.73,0.04,0.005,2.07,0.022
s1,s1_3,MLP Neural Net,Standard,0.05 (0.004),2.10 (0.032),0.66,0.05,0.004,2.1,0.032
s1,s1_3,MLP Neural Net,Classwise,0.03 (0.003),2.91 (0.053),0.66,0.03,0.003,2.91,0.053
s1,s1_3,MLP Neural Net,Clustered,0.05 (0.004),2.10 (0.037),0.66,0.05,0.004,2.1,0.037
s1,s1_3,MLP Neural Net,Augmented,0.06 (0.003),1.93 (0.010),0.66,0.06,0.003,1.93,0.01
s1,s1_4,Random Forest,Standard,0.04 (0.004),2.32 (0.097),0.70,0.04,0.004,2.32,0.097
s1,s1_4,Random Forest,Classwise,0.03 (0.004),4.08 (0.126),0.70,0.03,0.004,4.08,0.126
s1,s1_4,Random Forest,Clustered,0.04 (0.005),2.28 (0.098),0.70,0.04,0.005,2.28,0.098
s1,s1_4,Random Forest,Augmented,0.03 (0.004),2.45 (0.030),0.70,0.03,0.004,2.45,0.03
s1,s1_4,XGBoost,Standard,0.05 (0.004),1.60 (0.042),0.80,0.05,0.004,1.6,0.042
