Scenario,Experiment,Model,Method,CovGap,AvgSize,F1 Score,CovGap_mean,CovGap_se,AvgSize_mean,AvgSize_se
s1,s1_4,XGBoost,Classwise,0.02 (0.003),2.77 (0.125),0.80,0.02,0.003,2.77,0.125
s1,s1_4,XGBoost,Clustered,0.05 (0.004),1.62 (0.042),0.80,0.05,0.004,1.62,0.042
s1,s1_4,XGBoost,Augmented,0.05 (0.005),1.56 (0.016),0.80,0.05,0.005,1.56,0.016
s1,s1_4,MLP Neural Net,Standard,0.05 (0.006),1.12 (0.016),0.87,0.05,0.006,1.12,0.016
s1,s1_4,MLP Neural Net,Classwise,0.02 (0.003),2.41 (0.065),0.87,0.02,0.003,2.41,0.065
s1,s1_4,MLP Neural Net,Clustered,0.05 (0.006),1.13 (0.017),0.87,0.05,0.006,1.13,0.017
s1,s1_4,MLP Neural Net,Augmented,0.04 (0.006),1.11 (0.009),0.87,0.04,0.006,1.11,0.009
s1,s1_5,Random Forest,Standard,0.07 (0.006),2.46 (0.089),0.68,0.07,0.006,2.46,0.089
s1,s1_5,Random Forest,Classwise,0.02 (0.003),4.06 (0.119),0.68,0.02,0.003,4.06,0.119
s1,s1_5,Random Forest,Clustered,0.07 (0.006),2.44 (0.090),0.68,0.07,0.006,2.44,0.09
s1,s1_5,Random Forest,Augmented,0.03 (0.004),2.85 (0.028),0.68,0.03,0.004,2.85,0.028
s1,s1_5,XGBoost,Standard,0.07 (0.008),1.70 (0.060),0.77,0.07,0.008,1.7,0.06
s1,s1_5,XGBoost,Classwise,0.04 (0.005),3.49 (0.094),0.77,0.04,0.005,3.49,0.094
s1,s1_5,XGBoost,Clustered,0.07 (0.008),1.73 (0.068),0.77,0.07,0.008,1.73,0.068
s1,s1_5,XGBoost,Augmented,0.04 (0.005),1.93 (0.024),0.77,0.04,0.005,1.93,0.024
s1,s1_5,MLP Neural Net,Standard,0.05 (0.005),1.24 (0.024),0.87,0.05,0.005,1.24,0.024
s1,s1_5,MLP Neural Net,Classwise,0.03 (0.002),2.75 (0.052),0.87,0.03,0.002,2.75,0.052
s1,s1_5,MLP Neural Net,Clustered,0.05 (0.005),1.25 (0.025),0.87,0.05,0.005,1.25,0.025
s1,s1_5,MLP Neural Net,Augmented,0.04 (0.004),1.33 (0.013),0.87,0.04,0.004,1.33,0.013
s1,s1_6,Random Forest,Standard,0.05 (0.006),2.47 (0.103),0.67,0.05,0.006,2.47,0.103
s1,s1_6,Random Forest,Classwise,0.03 (0.005),4.29 (0.094),0.67,0.03,0.005,4.29,0.094
s1,s1_6,Random Forest,Clustered,0.05 (0.006),2.49 (0.104),0.67,0.05,0.006,2.49,0.104
s1,s1_6,Random Forest,Augmented,0.02 (0.004),2.76 (0.032),0.67,0.02,0.004,2.76,0.032
s1,s1_6,XGBoost,Standard,0.03 (0.005),1.60 (0.053),0.80,0.03,0.005,1.6,0.053
s1,s1_6,XGBoost,Classwise,0.03 (0.004),2.95 (0.122),0.80,0.03,0.004,2.95,0.122
s1,s1_6,XGBoost,Clustered,0.03 (0.006),1.59 (0.055),0.80,0.03,0.006,1.59,0.055
s1,s1_6,XGBoost,Augmented,0.02 (0.003),1.81 (0.019),0.80,0.02,0.003,1.81,0.019
s1,s1_6,MLP Neural Net,Standard,0.02 (0.006),1.12 (0.017),0.90,0.02,0.006,1.12,0.017
s1,s1_6,MLP Neural Net,Classwise,0.03 (0.006),2.21 (0.035),0.90,0.03,0.006,2.21,0.035
s1,s1_6,MLP Neural Net,Clustered,0.02 (0.006),1.13 (0.018),0.90,0.02,0.006,1.13,0.018
s1,s1_6,MLP Neural Net,Augmented,0.02 (0.005),1.18 (0.009),0.90,0.02,0.005,1.18,0.009
s1,s1_7,Random Forest,Standard,0.06 (0.007),2.57 (0.095),0.64,0.06,0.007,2.57,0.095
s1,s1_7,Random Forest,Classwise,0.03 (0.005),4.42 (0.124),0.64,0.03,0.005,4.42,0.124
s1,s1_7,Random Forest,Clustered,0.06 (0.007),2.57 (0.098),0.64,0.06,0.007,2.57,0.098
s1,s1_7,Random Forest,Augmented,0.03 (0.004),3.26 (0.038),0.64,0.03,0.004,3.26,0.038
s1,s1_7,XGBoost,Standard,0.05 (0.006),1.71 (0.054),0.79,0.05,0.006,1.71,0.054
s1,s1_7,XGBoost,Classwise,0.03 (0.004),3.25 (0.100),0.79,0.03,0.004,3.25,0.1
s1,s1_7,XGBoost,Clustered,0.05 (0.006),1.71 (0.053),0.79,0.05,0.006,1.71,0.053
s1,s1_7,XGBoost,Augmented,0.03 (0.004),1.86 (0.024),0.79,0.03,0.004,1.86,0.024
s1,s1_7,MLP Neural Net,Standard,0.05 (0.006),1.21 (0.021),0.85,0.05,0.006,1.21,0.021
s1,s1_7,MLP Neural Net,Classwise,0.03 (0.005),2.81 (0.038),0.85,0.03,0.005,2.81,0.038
s1,s1_7,MLP Neural Net,Clustered,0.05 (0.006),1.22 (0.022),0.85,0.05,0.006,1.22,0.022
s1,s1_7,MLP Neural Net,Augmented,0.05 (0.006),1.21 (0.010),0.85,0.05,0.006,1.21,0.01
s1,s1_8,Random Forest,Standard,0.06 (0.008),2.36 (0.082),0.66,0.06,0.008,2.36,0.082
s1,s1_8,Random Forest,Classwise,0.02 (0.003),3.90 (0.108),0.66,0.02,0.003,3.9,0.108
s1,s1_8,Random Forest,Clustered,0.05 (0.008),2.38 (0.087),0.66,0.05,0.008,2.38,0.087
s1,s1_8,Random Forest,Augmented,0.02 (0.004),2.61 (0.030),0.66,0.02,0.004,2.61,0.03
s1,s1_8,XGBoost,Standard,0.06 (0.008),2.06 (0.065),0.65,0.06,0.008,2.06,0.065
s1,s1_8,XGBoost,Classwise,0.03 (0.005),3.54 (0.068),0.65,0.03,0.005,3.54,0.068
s1,s1_8,XGBoost,Clustered,0.06 (0.008),2.11 (0.070),0.65,0.06,0.008,2.11,0.07
s1,s1_8,XGBoost,Augmented,0.04 (0.005),2.09 (0.024),0.65,0.04,0.005,2.09,0.024
s1,s1_8,MLP Neural Net,Standard,0.05 (0.007),1.62 (0.038),0.75,0.05,0.007,1.62,0.038
s1,s1_8,MLP Neural Net,Classwise,0.03 (0.006),3.57 (0.075),0.75,0.03,0.006,3.57,0.075
s1,s1_8,MLP Neural Net,Clustered,0.05 (0.006),1.64 (0.040),0.75,0.05,0.006,1.64,0.04
s1,s1_8,MLP Neural Net,Augmented,0.04 (0.006),1.61 (0.016),0.75,0.04,0.006,1.61,0.016
s1,s1_9,Random Forest,Standard,0.08 (0.006),2.86 (0.085),0.58,0.08,0.006,2.86,0.085
s1,s1_9,Random Forest,Classwise,0.03 (0.004),4.04 (0.093),0.58,0.03,0.004,4.04,0.093
s1,s1_9,Random Forest,Clustered,0.08 (0.006),2.92 (0.089),0.58,0.08,0.006,2.92,0.089
s1,s1_9,Random Forest,Augmented,0.02 (0.003),3.65 (0.031),0.58,0.02,0.003,3.65,0.031
s1,s1_9,XGBoost,Standard,0.07 (0.006),2.38 (0.071),0.62,0.07,0.006,2.38,0.071
s1,s1_9,XGBoost,Classwise,0.02 (0.004),3.62 (0.111),0.62,0.02,0.004,3.62,0.111
s1,s1_9,XGBoost,Clustered,0.07 (0.006),2.41 (0.072),0.62,0.07,0.006,2.41,0.072
s1,s1_9,XGBoost,Augmented,0.03 (0.004),2.59 (0.023),0.62,0.03,0.004,2.59,0.023
s1,s1_9,MLP Neural Net,Standard,0.05 (0.004),2.30 (0.031),0.63,0.05,0.004,2.3,0.031
s1,s1_9,MLP Neural Net,Classwise,0.02 (0.002),3.48 (0.031),0.63,0.02,0.002,3.48,0.031
s1,s1_9,MLP Neural Net,Clustered,0.05 (0.004),2.30 (0.031),0.63,0.05,0.004,2.3,0.031
s1,s1_9,MLP Neural Net,Augmented,0.06 (0.003),2.13 (0.011),0.63,0.06,0.003,2.13,0.011
s1,s1_10,Random Forest,Standard,0.09 (0.009),3.11 (0.091),0.53,0.09,0.009,3.11,0.091
s1,s1_10,Random Forest,Classwise,0.03 (0.004),4.73 (0.093),0.53,0.03,0.004,4.73,0.093
s1,s1_10,Random Forest,Clustered,0.09 (0.009),3.11 (0.091),0.53,0.09,0.009,3.11,0.091
s1,s1_10,Random Forest,Augmented,0.04 (0.004),3.59 (0.032),0.53,0.04,0.004,3.59,0.032
s1,s1_10,XGBoost,Standard,0.05 (0.007),2.47 (0.074),0.62,0.05,0.007,2.47,0.074
s1,s1_10,XGBoost,Classwise,0.03 (0.003),3.90 (0.081),0.62,0.03,0.003,3.9,0.081
s1,s1_10,XGBoost,Clustered,0.05 (0.007),2.48 (0.076),0.62,0.05,0.007,2.48,0.076
s1,s1_10,XGBoost,Augmented,0.03 (0.005),2.47 (0.028),0.62,0.03,0.005,2.47,0.028
s1,s1_10,MLP Neural Net,Standard,0.04 (0.003),2.51 (0.040),0.61,0.04,0.003,2.51,0.04
s1,s1_10,MLP Neural Net,Classwise,0.03 (0.002),3.70 (0.039),0.61,0.03,0.002,3.7,0.039
s1,s1_10,MLP Neural Net,Clustered,0.04 (0.003),2.48 (0.043),0.61,0.04,0.003,2.48,0.043
s1,s1_10,MLP Neural Net,Augmented,0.05 (0.003),2.29 (0.012),0.61,0.05,0.003,2.29,0.012
s1,s1_11,Random Forest,Standard,0.08 (0.007),2.47 (0.083),0.60,0.08,0.007,2.47,0.083
s1,s1_11,Random Forest,Classwise,0.02 (0.004),4.12 (0.162),0.60,0.02,0.004,4.12,0.162
s1,s1_11,Random Forest,Clustered,0.08 (0.007),2.49 (0.088),0.60,0.08,0.007,2.49,0.088
s1,s1_11,Random Forest,Augmented,0.02 (0.004),2.83 (0.031),0.60,0.02,0.004,2.83,0.031
s1,s1_11,XGBoost,Standard,0.06 (0.007),1.73 (0.051),0.74,0.06,0.007,1.73,0.051
s1,s1_11,XGBoost,Classwise,0.02 (0.003),3.24 (0.093),0.74,0.02,0.003,3.24,0.093
s1,s1_11,XGBoost,Clustered,0.06 (0.007),1.76 (0.056),0.74,0.06,0.007,1.76,0.056
s1,s1_11,XGBoost,Augmented,0.05 (0.005),1.78 (0.018),0.74,0.05,0.005,1.78,0.018
s1,s1_11,MLP Neural Net,Standard,0.04 (0.005),1.19 (0.016),0.85,0.04,0.005,1.19,0.016
s1,s1_11,MLP Neural Net,Classwise,0.03 (0.002),2.72 (0.028),0.85,0.03,0.002,2.72,0.028
s1,s1_11,MLP Neural Net,Clustered,0.04 (0.005),1.20 (0.017),0.85,0.04,0.005,1.2,0.017
s1,s1_11,MLP Neural Net,Augmented,0.04 (0.004),1.20 (0.009),0.85,0.04,0.004,1.2,0.009
s1,s1_12,Random Forest,Standard,0.09 (0.007),2.83 (0.098),0.57,0.09,0.007,2.83,0.098
s1,s1_12,Random Forest,Classwise,0.02 (0.004),4.22 (0.124),0.57,0.02,0.004,4.22,0.124
s1,s1_12,Random Forest,Clustered,0.09 (0.007),2.87 (0.108),0.57,0.09,0.007,2.87,0.108
s1,s1_12,Random Forest,Augmented,0.02 (0.004),3.62 (0.035),0.57,0.02,0.004,3.62,0.035
s1,s1_12,XGBoost,Standard,0.08 (0.008),1.92 (0.056),0.73,0.08,0.008,1.92,0.056
s1,s1_12,XGBoost,Classwise,0.03 (0.003),3.74 (0.089),0.73,0.03,0.003,3.74,0.089
s1,s1_12,XGBoost,Clustered,0.07 (0.008),1.94 (0.059),0.73,0.07,0.008,1.94,0.059
s1,s1_12,XGBoost,Augmented,0.04 (0.004),2.14 (0.025),0.73,0.04,0.004,2.14,0.025
s1,s1_12,MLP Neural Net,Standard,0.06 (0.005),1.32 (0.030),0.85,0.06,0.005,1.32,0.03
s1,s1_12,MLP Neural Net,Classwise,0.02 (0.003),2.53 (0.050),0.85,0.02,0.003,2.53,0.05
s1,s1_12,MLP Neural Net,Clustered,0.05 (0.005),1.34 (0.032),0.85,0.05,0.005,1.34,0.032
s1,s1_12,MLP Neural Net,Augmented,0.04 (0.003),1.42 (0.013),0.85,0.04,0.003,1.42,0.013
s1,s1_13,Random Forest,Standard,0.05 (0.005),2.81 (0.101),0.58,0.05,0.005,2.81,0.101
s1,s1_13,Random Forest,Classwise,0.02 (0.004),4.24 (0.114),0.58,0.02,0.004,4.24,0.114
s1,s1_13,Random Forest,Clustered,0.05 (0.005),2.83 (0.104),0.58,0.05,0.005,2.83,0.104
s1,s1_13,Random Forest,Augmented,0.02 (0.003),3.32 (0.035),0.58,0.02,0.003,3.32,0.035
s1,s1_13,XGBoost,Standard,0.04 (0.006),1.84 (0.070),0.76,0.04,0.006,1.84,0.07
s1,s1_13,XGBoost,Classwise,0.03 (0.003),3.28 (0.166),0.76,0.03,0.003,3.28,0.166
s1,s1_13,XGBoost,Clustered,0.04 (0.006),1.82 (0.071),0.76,0.04,0.006,1.82,0.071
s1,s1_13,XGBoost,Augmented,0.02 (0.004),2.05 (0.022),0.76,0.02,0.004,2.05,0.022
s1,s1_13,MLP Neural Net,Standard,0.04 (0.006),1.19 (0.019),0.87,0.04,0.006,1.19,0.019
s1,s1_13,MLP Neural Net,Classwise,0.03 (0.004),2.48 (0.044),0.87,0.03,0.004,2.48,0.044
s1,s1_13,MLP Neural Net,Clustered,0.04 (0.006),1.19 (0.021),0.87,0.04,0.006,1.19,0.021
s1,s1_13,MLP Neural Net,Augmented,0.03 (0.004),1.30 (0.010),0.87,0.03,0.004,1.3,0.01
s1,s1_14,Random Forest,Standard,0.09 (0.007),2.85 (0.097),0.55,0.09,0.007,2.85,0.097
s1,s1_14,Random Forest,Classwise,0.03 (0.005),3.89 (0.130),0.55,0.03,0.005,3.89,0.13
s1,s1_14,Random Forest,Clustered,0.09 (0.007),2.83 (0.097),0.55,0.09,0.007,2.83,0.097
s1,s1_14,Random Forest,Augmented,0.04 (0.004),3.61 (0.034),0.55,0.04,0.004,3.61,0.034
s1,s1_14,XGBoost,Standard,0.07 (0.007),1.82 (0.068),0.74,0.07,0.007,1.82,0.068
s1,s1_14,XGBoost,Classwise,0.03 (0.005),2.85 (0.091),0.74,0.03,0.005,2.85,0.091
s1,s1_14,XGBoost,Clustered,0.06 (0.007),1.84 (0.075),0.74,0.06,0.007,1.84,0.075
s1,s1_14,XGBoost,Augmented,0.04 (0.004),2.11 (0.024),0.74,0.04,0.004,2.11,0.024
s1,s1_14,MLP Neural Net,Standard,0.05 (0.006),1.26 (0.021),0.83,0.05,0.006,1.26,0.021
s1,s1_14,MLP Neural Net,Classwise,0.03 (0.003),2.78 (0.041),0.83,0.03,0.003,2.78,0.041
s1,s1_14,MLP Neural Net,Clustered,0.05 (0.006),1.27 (0.022),0.83,0.05,0.006,1.27,0.022
s1,s1_14,MLP Neural Net,Augmented,0.05 (0.005),1.29 (0.011),0.83,0.05,0.005,1.29,0.011
s2,s2_1,Random Forest,Standard,0.10 (0.010),4.50 (0.093),0.43,0.1,0.01,4.5,0.093
s2,s2_1,Random Forest,Classwise,0.03 (0.005),5.63 (0.169),0.43,0.03,0.005,5.63,0.169
s2,s2_1,Random Forest,Clustered,0.10 (0.010),4.50 (0.098),0.43,0.1,0.01,4.5,0.098
s2,s2_1,Random Forest,Augmented,0.03 (0.003),5.24 (0.034),0.43,0.03,0.003,5.24,0.034
s2,s2_1,XGBoost,Standard,0.06 (0.006),2.64 (0.093),0.68,0.06,0.006,2.64,0.093
s2,s2_1,XGBoost,Classwise,0.02 (0.002),3.82 (0.123),0.68,0.02,0.002,3.82,0.123
s2,s2_1,XGBoost,Clustered,0.05 (0.006),2.71 (0.100),0.68,0.05,0.006,2.71,0.1
s2,s2_1,XGBoost,Augmented,0.02 (0.003),3.08 (0.024),0.68,0.02,0.003,3.08,0.024
s2,s2_1,MLP Neural Net,Standard,0.04 (0.003),4.25 (0.052),0.42,0.04,0.003,4.25,0.052
s2,s2_1,MLP Neural Net,Classwise,0.02 (0.003),5.23 (0.064),0.42,0.02,0.003,5.23,0.064
s2,s2_1,MLP Neural Net,Clustered,0.04 (0.003),4.27 (0.051),0.42,0.04,0.003,4.27,0.051
s2,s2_1,MLP Neural Net,Augmented,0.06 (0.003),3.79 (0.019),0.42,0.06,0.003,3.79,0.019
s2,s2_2,Random Forest,Standard,0.12 (0.010),3.93 (0.095),0.29,0.12,0.01,3.93,0.095
s2,s2_2,Random Forest,Classwise,0.02 (0.005),5.21 (0.179),0.29,0.02,0.005,5.21,0.179
s2,s2_2,Random Forest,Clustered,0.14 (0.010),3.71 (0.093),0.29,0.14,0.01,3.71,0.093
s2,s2_2,Random Forest,Augmented,0.03 (0.004),5.00 (0.039),0.29,0.03,0.004,5.0,0.039
s2,s2_2,XGBoost,Standard,0.03 (0.005),2.12 (0.064),0.71,0.03,0.005,2.12,0.064
s2,s2_2,XGBoost,Classwise,0.03 (0.003),3.42 (0.173),0.71,0.03,0.003,3.42,0.173
s2,s2_2,XGBoost,Clustered,0.03 (0.005),2.08 (0.065),0.71,0.03,0.005,2.08,0.065
s2,s2_2,XGBoost,Augmented,0.02 (0.004),2.38 (0.026),0.71,0.02,0.004,2.38,0.026
s2,s2_2,MLP Neural Net,Standard,0.07 (0.004),2.33 (0.043),0.65,0.07,0.004,2.33,0.043
s2,s2_2,MLP Neural Net,Classwise,0.03 (0.003),3.53 (0.080),0.65,0.03,0.003,3.53,0.08
s2,s2_2,MLP Neural Net,Clustered,0.07 (0.004),2.33 (0.043),0.65,0.07,0.004,2.33,0.043
s2,s2_2,MLP Neural Net,Augmented,0.07 (0.004),2.14 (0.017),0.65,0.07,0.004,2.14,0.017
