Scenario,Experiment,Model,Method,CovGap,AvgSize,F1 Score,CovGap_mean,CovGap_se,AvgSize_mean,AvgSize_se
s2,s2_6,Random Forest,Classwise,0.04 (0.007),4.66 (0.118),0.24,0.04,0.007,4.66,0.118
s2,s2_6,Random Forest,Clustered,0.19 (0.010),3.62 (0.087),0.24,0.19,0.01,3.62,0.087
s2,s2_6,Random Forest,Augmented,0.04 (0.004),4.76 (0.032),0.24,0.04,0.004,4.76,0.032
s2,s2_6,XGBoost,Standard,0.09 (0.011),1.85 (0.049),0.61,0.09,0.011,1.85,0.049
s2,s2_6,XGBoost,Classwise,0.04 (0.004),2.58 (0.059),0.61,0.04,0.004,2.58,0.059
s2,s2_6,XGBoost,Clustered,0.09 (0.011),1.82 (0.051),0.61,0.09,0.011,1.82,0.051
s2,s2_6,XGBoost,Augmented,0.04 (0.005),2.24 (0.022),0.61,0.04,0.005,2.24,0.022
s2,s2_6,MLP Neural Net,Standard,0.10 (0.005),1.98 (0.035),0.58,0.1,0.005,1.98,0.035
s2,s2_6,MLP Neural Net,Classwise,0.06 (0.006),2.57 (0.058),0.58,0.06,0.006,2.57,0.058
s2,s2_6,MLP Neural Net,Clustered,0.11 (0.006),1.95 (0.040),0.58,0.11,0.006,1.95,0.04
s2,s2_6,MLP Neural Net,Augmented,0.10 (0.005),1.88 (0.015),0.58,0.1,0.005,1.88,0.015
s2,s2_7,Random Forest,Standard,0.17 (0.003),2.79 (0.024),0.43,0.17,0.003,2.79,0.024
s2,s2_7,Random Forest,Classwise,0.02 (0.003),3.66 (0.041),0.43,0.02,0.003,3.66,0.041
s2,s2_7,Random Forest,Clustered,0.17 (0.003),2.75 (0.025),0.43,0.17,0.003,2.75,0.025
s2,s2_7,Random Forest,Augmented,0.02 (0.002),3.70 (0.025),0.43,0.02,0.002,3.7,0.025
s2,s2_7,XGBoost,Standard,0.09 (0.003),1.76 (0.018),0.65,0.09,0.003,1.76,0.018
s2,s2_7,XGBoost,Classwise,0.02 (0.003),2.18 (0.027),0.65,0.02,0.003,2.18,0.027
s2,s2_7,XGBoost,Clustered,0.09 (0.004),1.76 (0.019),0.65,0.09,0.004,1.76,0.019
s2,s2_7,XGBoost,Augmented,0.03 (0.003),1.93 (0.015),0.65,0.03,0.003,1.93,0.015
s2,s2_7,MLP Neural Net,Standard,0.07 (0.001),2.18 (0.009),0.54,0.07,0.001,2.18,0.009
s2,s2_7,MLP Neural Net,Classwise,0.02 (0.001),2.63 (0.014),0.54,0.02,0.001,2.63,0.014
s2,s2_7,MLP Neural Net,Clustered,0.07 (0.001),2.17 (0.010),0.54,0.07,0.001,2.17,0.01
s2,s2_7,MLP Neural Net,Augmented,0.04 (0.001),2.31 (0.007),0.54,0.04,0.001,2.31,0.007
s2,s2_8,Random Forest,Standard,0.15 (0.003),2.55 (0.024),0.43,0.15,0.003,2.55,0.024
s2,s2_8,Random Forest,Classwise,0.02 (0.003),3.09 (0.044),0.43,0.02,0.003,3.09,0.044
s2,s2_8,Random Forest,Clustered,0.15 (0.003),2.56 (0.025),0.43,0.15,0.003,2.56,0.025
s2,s2_8,Random Forest,Augmented,0.02 (0.002),3.07 (0.024),0.43,0.02,0.002,3.07,0.024
s2,s2_8,XGBoost,Standard,0.03 (0.003),1.37 (0.015),0.82,0.03,0.003,1.37,0.015
s2,s2_8,XGBoost,Classwise,0.02 (0.003),1.45 (0.018),0.82,0.02,0.003,1.45,0.018
s2,s2_8,XGBoost,Clustered,0.03 (0.003),1.37 (0.016),0.82,0.03,0.003,1.37,0.016
s2,s2_8,XGBoost,Augmented,0.02 (0.003),1.38 (0.011),0.82,0.02,0.003,1.38,0.011
s2,s2_8,MLP Neural Net,Standard,0.06 (0.003),1.10 (0.005),0.82,0.06,0.003,1.1,0.005
s2,s2_8,MLP Neural Net,Classwise,0.02 (0.002),1.28 (0.011),0.82,0.02,0.002,1.28,0.011
s2,s2_8,MLP Neural Net,Clustered,0.06 (0.003),1.10 (0.005),0.82,0.06,0.003,1.1,0.005
s2,s2_8,MLP Neural Net,Augmented,0.02 (0.002),1.17 (0.005),0.82,0.02,0.002,1.17,0.005
