Scenario,Experiment,Model,Method,CovGap,AvgSize,F1 Score,CovGap_mean,CovGap_se,AvgSize_mean,AvgSize_se
s2,s2_3,Random Forest,Standard,0.15 (0.003),2.35 (0.024),0.56,0.15,0.003,2.35,0.024
s2,s2_3,Random Forest,Classwise,0.02 (0.003),3.13 (0.038),0.56,0.02,0.003,3.13,0.038
s2,s2_3,Random Forest,Clustered,0.15 (0.003),2.34 (0.025),0.56,0.15,0.003,2.34,0.025
s2,s2_3,Random Forest,Augmented,0.02 (0.002),2.98 (0.021),0.56,0.02,0.002,2.98,0.021
s2,s2_3,XGBoost,Standard,0.08 (0.003),1.47 (0.014),0.73,0.08,0.003,1.47,0.014
s2,s2_3,XGBoost,Classwise,0.02 (0.003),1.75 (0.020),0.73,0.02,0.003,1.75,0.02
s2,s2_3,XGBoost,Clustered,0.08 (0.003),1.47 (0.015),0.73,0.08,0.003,1.47,0.015
s2,s2_3,XGBoost,Augmented,0.02 (0.003),1.56 (0.012),0.73,0.02,0.003,1.56,0.012
s2,s2_3,MLP Neural Net,Standard,0.07 (0.002),1.84 (0.008),0.63,0.07,0.002,1.84,0.008
s2,s2_3,MLP Neural Net,Classwise,0.01 (0.001),2.22 (0.014),0.63,0.01,0.001,2.22,0.014
s2,s2_3,MLP Neural Net,Clustered,0.07 (0.002),1.83 (0.008),0.63,0.07,0.002,1.83,0.008
s2,s2_3,MLP Neural Net,Augmented,0.03 (0.001),1.89 (0.007),0.63,0.03,0.001,1.89,0.007
s2,s2_4,Random Forest,Standard,0.11 (0.003),2.12 (0.023),0.54,0.11,0.003,2.12,0.023
s2,s2_4,Random Forest,Classwise,0.01 (0.002),2.51 (0.036),0.54,0.01,0.002,2.51,0.036
s2,s2_4,Random Forest,Clustered,0.11 (0.003),2.13 (0.023),0.54,0.11,0.003,2.13,0.023
s2,s2_4,Random Forest,Augmented,0.02 (0.002),2.49 (0.021),0.54,0.02,0.002,2.49,0.021
s2,s2_4,XGBoost,Standard,0.02 (0.003),1.21 (0.012),0.87,0.02,0.003,1.21,0.012
s2,s2_4,XGBoost,Classwise,0.02 (0.004),1.25 (0.013),0.87,0.02,0.004,1.25,0.013
s2,s2_4,XGBoost,Clustered,0.02 (0.003),1.20 (0.012),0.87,0.02,0.003,1.2,0.012
s2,s2_4,XGBoost,Augmented,0.02 (0.003),1.21 (0.009),0.87,0.02,0.003,1.21,0.009
s2,s2_4,MLP Neural Net,Standard,0.06 (0.003),1.07 (0.005),0.84,0.06,0.003,1.07,0.005
s2,s2_4,MLP Neural Net,Classwise,0.02 (0.002),1.20 (0.007),0.84,0.02,0.002,1.2,0.007
s2,s2_4,MLP Neural Net,Clustered,0.06 (0.003),1.07 (0.006),0.84,0.06,0.003,1.07,0.006
s2,s2_4,MLP Neural Net,Augmented,0.02 (0.002),1.10 (0.005),0.84,0.02,0.002,1.1,0.005
s2,s2_5,Random Forest,Standard,0.20 (0.008),3.77 (0.072),0.32,0.2,0.008,3.77,0.072
s2,s2_5,Random Forest,Classwise,0.02 (0.006),4.78 (0.111),0.32,0.02,0.006,4.78,0.111
s2,s2_5,Random Forest,Clustered,0.20 (0.009),3.74 (0.075),0.32,0.2,0.009,3.74,0.075
s2,s2_5,Random Forest,Augmented,0.03 (0.005),4.76 (0.032),0.32,0.03,0.005,4.76,0.032
s2,s2_5,XGBoost,Standard,0.13 (0.006),2.16 (0.052),0.58,0.13,0.006,2.16,0.052
s2,s2_5,XGBoost,Classwise,0.03 (0.004),3.53 (0.085),0.58,0.03,0.004,3.53,0.085
s2,s2_5,XGBoost,Clustered,0.13 (0.006),2.16 (0.052),0.58,0.13,0.006,2.16,0.052
s2,s2_5,XGBoost,Augmented,0.03 (0.004),2.83 (0.021),0.58,0.03,0.004,2.83,0.021
s2,s2_5,MLP Neural Net,Standard,0.11 (0.005),4.00 (0.060),0.33,0.11,0.005,4.0,0.06
s2,s2_5,MLP Neural Net,Classwise,0.04 (0.004),4.83 (0.050),0.33,0.04,0.004,4.83,0.05
s2,s2_5,MLP Neural Net,Clustered,0.10 (0.007),4.12 (0.064),0.33,0.1,0.007,4.12,0.064
s2,s2_5,MLP Neural Net,Augmented,0.10 (0.004),3.64 (0.017),0.33,0.1,0.004,3.64,0.017
s2,s2_6,Random Forest,Standard,0.18 (0.008),3.70 (0.082),0.24,0.18,0.008,3.7,0.082
