Scenario,Experiment,Model,Method,CovGap,AvgSize,F1 Score,CovGap_mean,CovGap_se,AvgSize_mean,AvgSize_se
s1,s1_1,Random Forest,Standard,0.06 (0.010),1.55 (0.046),0.72,0.06,0.01,1.55,0.046
s1,s1_1,Random Forest,Classwise,0.04 (0.008),2.09 (0.069),0.72,0.04,0.008,2.09,0.069
s1,s1_1,Random Forest,Clustered,0.06 (0.010),1.56 (0.049),0.72,0.06,0.01,1.56,0.049
s1,s1_1,Random Forest,Augmented,0.04 (0.006),1.67 (0.019),0.72,0.04,0.006,1.67,0.019
s1,s1_1,XGBoost,Standard,0.08 (0.008),1.44 (0.033),0.71,0.08,0.008,1.44,0.033
s1,s1_1,XGBoost,Classwise,0.03 (0.006),1.77 (0.054),0.71,0.03,0.006,1.77,0.054
s1,s1_1,XGBoost,Clustered,0.08 (0.008),1.46 (0.034),0.71,0.08,0.008,1.46,0.034
s1,s1_1,XGBoost,Augmented,0.05 (0.006),1.43 (0.014),0.71,0.05,0.006,1.43,0.014
s1,s1_1,MLP Neural Net,Standard,0.05 (0.009),1.22 (0.024),0.81,0.05,0.009,1.22,0.024
s1,s1_1,MLP Neural Net,Classwise,0.04 (0.008),1.46 (0.037),0.81,0.04,0.008,1.46,0.037
s1,s1_1,MLP Neural Net,Clustered,0.05 (0.009),1.23 (0.025),0.81,0.05,0.009,1.23,0.025
s1,s1_1,MLP Neural Net,Augmented,0.04 (0.008),1.22 (0.012),0.81,0.04,0.008,1.22,0.012
s1,s1_2,Random Forest,Standard,0.09 (0.008),1.93 (0.060),0.66,0.09,0.008,1.93,0.06
s1,s1_2,Random Forest,Classwise,0.03 (0.005),2.72 (0.096),0.66,0.03,0.005,2.72,0.096
s1,s1_2,Random Forest,Clustered,0.08 (0.008),1.97 (0.061),0.66,0.08,0.008,1.97,0.061
s1,s1_2,Random Forest,Augmented,0.02 (0.005),2.31 (0.023),0.66,0.02,0.005,2.31,0.023
s1,s1_2,XGBoost,Standard,0.09 (0.008),1.53 (0.039),0.72,0.09,0.008,1.53,0.039
s1,s1_2,XGBoost,Classwise,0.04 (0.006),2.17 (0.056),0.72,0.04,0.006,2.17,0.056
s1,s1_2,XGBoost,Clustered,0.09 (0.008),1.56 (0.041),0.72,0.09,0.008,1.56,0.041
s1,s1_2,XGBoost,Augmented,0.05 (0.006),1.71 (0.016),0.72,0.05,0.006,1.71,0.016
s1,s1_2,MLP Neural Net,Standard,0.08 (0.005),1.64 (0.021),0.67,0.08,0.005,1.64,0.021
s1,s1_2,MLP Neural Net,Classwise,0.04 (0.003),2.27 (0.022),0.67,0.04,0.003,2.27,0.022
s1,s1_2,MLP Neural Net,Clustered,0.08 (0.005),1.65 (0.022),0.67,0.08,0.005,1.65,0.022
s1,s1_2,MLP Neural Net,Augmented,0.05 (0.004),1.55 (0.008),0.67,0.05,0.004,1.55,0.008
s1,s1_3,Random Forest,Standard,0.12 (0.009),1.95 (0.056),0.62,0.12,0.009,1.95,0.056
s1,s1_3,Random Forest,Classwise,0.04 (0.007),2.80 (0.082),0.62,0.04,0.007,2.8,0.082
s1,s1_3,Random Forest,Clustered,0.12 (0.010),1.94 (0.059),0.62,0.12,0.01,1.94,0.059
s1,s1_3,Random Forest,Augmented,0.06 (0.005),2.52 (0.026),0.62,0.06,0.005,2.52,0.026
s1,s1_3,XGBoost,Standard,0.10 (0.008),1.44 (0.037),0.73,0.1,0.008,1.44,0.037
s1,s1_3,XGBoost,Classwise,0.04 (0.008),2.04 (0.055),0.73,0.04,0.008,2.04,0.055
s1,s1_3,XGBoost,Clustered,0.10 (0.008),1.44 (0.040),0.73,0.1,0.008,1.44,0.04
