Scenario,Experiment,Model,Method,CovGap,AvgSize,F1 Score,CovGap_mean,CovGap_se,AvgSize_mean,AvgSize_se
s1,s1_3,XGBoost,Augmented,0.05 (0.007),1.63 (0.017),0.73,0.05,0.007,1.63,0.017
s1,s1_3,MLP Neural Net,Standard,0.07 (0.004),1.63 (0.024),0.66,0.07,0.004,1.63,0.024
s1,s1_3,MLP Neural Net,Classwise,0.03 (0.005),1.93 (0.033),0.66,0.03,0.005,1.93,0.033
s1,s1_3,MLP Neural Net,Clustered,0.07 (0.004),1.63 (0.024),0.66,0.07,0.004,1.63,0.024
s1,s1_3,MLP Neural Net,Augmented,0.06 (0.004),1.60 (0.008),0.66,0.06,0.004,1.6,0.008
s1,s1_4,Random Forest,Standard,0.06 (0.007),1.75 (0.063),0.7,0.06,0.007,1.75,0.063
s1,s1_4,Random Forest,Classwise,0.03 (0.006),2.17 (0.071),0.7,0.03,0.006,2.17,0.071
s1,s1_4,Random Forest,Clustered,0.06 (0.007),1.74 (0.062),0.7,0.06,0.007,1.74,0.062
s1,s1_4,Random Forest,Augmented,0.04 (0.006),1.87 (0.024),0.7,0.04,0.006,1.87,0.024
s1,s1_4,XGBoost,Standard,0.06 (0.008),1.29 (0.033),0.8,0.06,0.008,1.29,0.033
s1,s1_4,XGBoost,Classwise,0.04 (0.007),1.44 (0.041),0.8,0.04,0.007,1.44,0.041
s1,s1_4,XGBoost,Clustered,0.06 (0.008),1.30 (0.035),0.8,0.06,0.008,1.3,0.035
s1,s1_4,XGBoost,Augmented,0.05 (0.007),1.30 (0.014),0.8,0.05,0.007,1.3,0.014
s1,s1_4,MLP Neural Net,Standard,0.06 (0.010),1.01 (0.015),0.87,0.06,0.01,1.01,0.015
s1,s1_4,MLP Neural Net,Classwise,0.03 (0.009),1.08 (0.023),0.87,0.03,0.009,1.08,0.023
s1,s1_4,MLP Neural Net,Clustered,0.06 (0.010),1.02 (0.016),0.87,0.06,0.01,1.02,0.016
s1,s1_4,MLP Neural Net,Augmented,0.05 (0.008),1.00 (0.010),0.87,0.05,0.008,1,0.01
s1,s1_5,Random Forest,Standard,0.09 (0.007),1.89 (0.056),0.68,0.09,0.007,1.89,0.056
s1,s1_5,Random Forest,Classwise,0.06 (0.006),2.36 (0.066),0.68,0.06,0.006,2.36,0.066
s1,s1_5,Random Forest,Clustered,0.09 (0.007),1.89 (0.057),0.68,0.09,0.007,1.89,0.057
s1,s1_5,Random Forest,Augmented,0.05 (0.005),2.21 (0.023),0.68,0.05,0.005,2.21,0.023
s1,s1_5,XGBoost,Standard,0.09 (0.008),1.36 (0.036),0.77,0.09,0.008,1.36,0.036
s1,s1_5,XGBoost,Classwise,0.05 (0.007),1.84 (0.076),0.77,0.05,0.007,1.84,0.076
s1,s1_5,XGBoost,Clustered,0.09 (0.008),1.37 (0.037),0.77,0.09,0.008,1.37,0.037
s1,s1_5,XGBoost,Augmented,0.06 (0.007),1.47 (0.015),0.77,0.06,0.007,1.47,0.015
s1,s1_5,MLP Neural Net,Standard,0.06 (0.007),1.08 (0.016),0.87,0.06,0.007,1.08,0.016
s1,s1_5,MLP Neural Net,Classwise,0.04 (0.005),1.29 (0.036),0.87,0.04,0.005,1.29,0.036
s1,s1_5,MLP Neural Net,Clustered,0.05 (0.007),1.09 (0.017),0.87,0.05,0.007,1.09,0.017
s1,s1_5,MLP Neural Net,Augmented,0.05 (0.006),1.09 (0.010),0.87,0.05,0.006,1.09,0.01
s1,s1_6,Random Forest,Standard,0.07 (0.007),1.87 (0.057),0.67,0.07,0.007,1.87,0.057
s1,s1_6,Random Forest,Classwise,0.03 (0.007),2.22 (0.083),0.67,0.03,0.007,2.22,0.083
s1,s1_6,Random Forest,Clustered,0.07 (0.007),1.88 (0.059),0.67,0.07,0.007,1.88,0.059
s1,s1_6,Random Forest,Augmented,0.03 (0.005),2.09 (0.024),0.67,0.03,0.005,2.09,0.024
s1,s1_6,XGBoost,Standard,0.05 (0.008),1.30 (0.031),0.8,0.05,0.008,1.3,0.031
s1,s1_6,XGBoost,Classwise,0.04 (0.007),1.64 (0.038),0.8,0.04,0.007,1.64,0.038
s1,s1_6,XGBoost,Clustered,0.05 (0.008),1.30 (0.032),0.8,0.05,0.008,1.3,0.032
s1,s1_6,XGBoost,Augmented,0.02 (0.005),1.40 (0.016),0.8,0.02,0.005,1.4,0.016
s1,s1_6,MLP Neural Net,Standard,0.03 (0.009),1.02 (0.015),0.9,0.03,0.009,1.02,0.015
s1,s1_6,MLP Neural Net,Classwise,0.04 (0.008),1.22 (0.022),0.9,0.04,0.008,1.22,0.022
s1,s1_6,MLP Neural Net,Clustered,0.03 (0.009),1.02 (0.016),0.9,0.03,0.009,1.02,0.016
s1,s1_6,MLP Neural Net,Augmented,0.03 (0.007),1.02 (0.010),0.9,0.03,0.007,1.02,0.01
s1,s1_7,Random Forest,Standard,0.09 (0.008),1.95 (0.059),0.64,0.09,0.008,1.95,0.059
s1,s1_7,Random Forest,Classwise,0.04 (0.006),2.89 (0.101),0.64,0.04,0.006,2.89,0.101
s1,s1_7,Random Forest,Clustered,0.09 (0.008),1.96 (0.061),0.64,0.09,0.008,1.96,0.061
s1,s1_7,Random Forest,Augmented,0.04 (0.005),2.21 (0.024),0.64,0.04,0.005,2.21,0.024
s1,s1_7,XGBoost,Standard,0.06 (0.008),1.37 (0.035),0.79,0.06,0.008,1.37,0.035
s1,s1_7,XGBoost,Classwise,0.04 (0.006),1.68 (0.046),0.79,0.04,0.006,1.68,0.046
s1,s1_7,XGBoost,Clustered,0.06 (0.008),1.38 (0.037),0.79,0.06,0.008,1.38,0.037
s1,s1_7,XGBoost,Augmented,0.03 (0.005),1.43 (0.016),0.79,0.03,0.005,1.43,0.016
s1,s1_7,MLP Neural Net,Standard,0.07 (0.009),1.07 (0.016),0.85,0.07,0.009,1.07,0.016
s1,s1_7,MLP Neural Net,Classwise,0.05 (0.010),1.15 (0.024),0.85,0.05,0.01,1.15,0.024
s1,s1_7,MLP Neural Net,Clustered,0.07 (0.009),1.07 (0.017),0.85,0.07,0.009,1.07,0.017
s1,s1_7,MLP Neural Net,Augmented,0.06 (0.008),1.05 (0.010),0.85,0.06,0.008,1.05,0.01
s1,s1_8,Random Forest,Standard,0.09 (0.009),1.81 (0.053),0.66,0.09,0.009,1.81,0.053
s1,s1_8,Random Forest,Classwise,0.04 (0.008),2.54 (0.117),0.66,0.04,0.008,2.54,0.117
s1,s1_8,Random Forest,Clustered,0.09 (0.009),1.82 (0.055),0.66,0.09,0.009,1.82,0.055
s1,s1_8,Random Forest,Augmented,0.04 (0.007),2.00 (0.022),0.66,0.04,0.007,2,0.022
s1,s1_8,XGBoost,Standard,0.11 (0.010),1.57 (0.040),0.65,0.11,0.01,1.57,0.04
s1,s1_8,XGBoost,Classwise,0.05 (0.010),2.08 (0.096),0.65,0.05,0.01,2.08,0.096
s1,s1_8,XGBoost,Clustered,0.11 (0.010),1.59 (0.042),0.65,0.11,0.01,1.59,0.042
s1,s1_8,XGBoost,Augmented,0.06 (0.007),1.68 (0.016),0.65,0.06,0.007,1.68,0.016
s1,s1_8,MLP Neural Net,Standard,0.07 (0.008),1.37 (0.029),0.75,0.07,0.008,1.37,0.029
s1,s1_8,MLP Neural Net,Classwise,0.05 (0.009),1.55 (0.045),0.75,0.05,0.009,1.55,0.045
s1,s1_8,MLP Neural Net,Clustered,0.07 (0.008),1.39 (0.030),0.75,0.07,0.008,1.39,0.03
s1,s1_8,MLP Neural Net,Augmented,0.05 (0.008),1.37 (0.014),0.75,0.05,0.008,1.37,0.014
s1,s1_9,Random Forest,Standard,0.12 (0.007),2.10 (0.054),0.58,0.12,0.007,2.1,0.054
s1,s1_9,Random Forest,Classwise,0.04 (0.005),3.01 (0.080),0.58,0.04,0.005,3.01,0.08
s1,s1_9,Random Forest,Clustered,0.11 (0.007),2.13 (0.056),0.58,0.11,0.007,2.13,0.056
s1,s1_9,Random Forest,Augmented,0.03 (0.005),2.85 (0.024),0.58,0.03,0.005,2.85,0.024
s1,s1_9,XGBoost,Standard,0.10 (0.007),1.82 (0.037),0.62,0.1,0.007,1.82,0.037
s1,s1_9,XGBoost,Classwise,0.04 (0.006),2.52 (0.064),0.62,0.04,0.006,2.52,0.064
s1,s1_9,XGBoost,Clustered,0.10 (0.007),1.83 (0.039),0.62,0.1,0.007,1.83,0.039
s1,s1_9,XGBoost,Augmented,0.04 (0.006),2.06 (0.017),0.62,0.04,0.006,2.06,0.017
s1,s1_9,MLP Neural Net,Standard,0.09 (0.004),1.82 (0.022),0.63,0.09,0.004,1.82,0.022
s1,s1_9,MLP Neural Net,Classwise,0.04 (0.005),2.20 (0.033),0.63,0.04,0.005,2.2,0.033
s1,s1_9,MLP Neural Net,Clustered,0.09 (0.004),1.81 (0.026),0.63,0.09,0.004,1.81,0.026
s1,s1_9,MLP Neural Net,Augmented,0.07 (0.004),1.72 (0.010),0.63,0.07,0.004,1.72,0.01
s1,s1_10,Random Forest,Standard,0.16 (0.009),2.24 (0.058),0.53,0.16,0.009,2.24,0.058
s1,s1_10,Random Forest,Classwise,0.05 (0.008),3.00 (0.077),0.53,0.05,0.008,3,0.077
s1,s1_10,Random Forest,Clustered,0.15 (0.009),2.25 (0.060),0.53,0.15,0.009,2.25,0.06
s1,s1_10,Random Forest,Augmented,0.06 (0.005),2.83 (0.025),0.53,0.06,0.005,2.83,0.025
s1,s1_10,XGBoost,Standard,0.11 (0.008),1.83 (0.047),0.62,0.11,0.008,1.83,0.047
s1,s1_10,XGBoost,Classwise,0.05 (0.008),2.43 (0.088),0.62,0.05,0.008,2.43,0.088
s1,s1_10,XGBoost,Clustered,0.11 (0.008),1.82 (0.050),0.62,0.11,0.008,1.82,0.05
s1,s1_10,XGBoost,Augmented,0.07 (0.007),1.90 (0.020),0.62,0.07,0.007,1.9,0.02
s1,s1_10,MLP Neural Net,Standard,0.07 (0.005),1.88 (0.023),0.61,0.07,0.005,1.88,0.023
s1,s1_10,MLP Neural Net,Classwise,0.02 (0.004),2.32 (0.040),0.61,0.02,0.004,2.32,0.04
s1,s1_10,MLP Neural Net,Clustered,0.06 (0.005),1.89 (0.022),0.61,0.06,0.005,1.89,0.022
s1,s1_10,MLP Neural Net,Augmented,0.07 (0.004),1.80 (0.009),0.61,0.07,0.004,1.8,0.009
s1,s1_11,Random Forest,Standard,0.10 (0.007),1.91 (0.060),0.6,0.1,0.007,1.91,0.06
s1,s1_11,Random Forest,Classwise,0.02 (0.006),2.28 (0.078),0.6,0.02,0.006,2.28,0.078
s1,s1_11,Random Forest,Clustered,0.10 (0.007),1.91 (0.064),0.6,0.1,0.007,1.91,0.064
s1,s1_11,Random Forest,Augmented,0.04 (0.006),2.14 (0.025),0.6,0.04,0.006,2.14,0.025
s1,s1_11,XGBoost,Standard,0.08 (0.009),1.39 (0.037),0.74,0.08,0.009,1.39,0.037
s1,s1_11,XGBoost,Classwise,0.04 (0.007),1.59 (0.049),0.74,0.04,0.007,1.59,0.049
s1,s1_11,XGBoost,Clustered,0.08 (0.009),1.39 (0.038),0.74,0.08,0.009,1.39,0.038
s1,s1_11,XGBoost,Augmented,0.05 (0.007),1.45 (0.015),0.74,0.05,0.007,1.45,0.015
s1,s1_11,MLP Neural Net,Standard,0.06 (0.009),1.05 (0.015),0.85,0.06,0.009,1.05,0.015
s1,s1_11,MLP Neural Net,Classwise,0.03 (0.007),1.14 (0.023),0.85,0.03,0.007,1.14,0.023
s1,s1_11,MLP Neural Net,Clustered,0.06 (0.009),1.06 (0.016),0.85,0.06,0.009,1.06,0.016
s1,s1_11,MLP Neural Net,Augmented,0.04 (0.007),1.05 (0.010),0.85,0.04,0.007,1.05,0.01
s1,s1_12,Random Forest,Standard,0.13 (0.008),2.13 (0.054),0.57,0.13,0.008,2.13,0.054
s1,s1_12,Random Forest,Classwise,0.03 (0.006),2.81 (0.089),0.57,0.03,0.006,2.81,0.089
s1,s1_12,Random Forest,Clustered,0.12 (0.008),2.16 (0.058),0.57,0.12,0.008,2.16,0.058
s1,s1_12,Random Forest,Augmented,0.03 (0.005),2.69 (0.028),0.57,0.03,0.005,2.69,0.028
s1,s1_12,XGBoost,Standard,0.10 (0.006),1.53 (0.039),0.73,0.1,0.006,1.53,0.039
s1,s1_12,XGBoost,Classwise,0.04 (0.008),1.81 (0.070),0.73,0.04,0.008,1.81,0.07
s1,s1_12,XGBoost,Clustered,0.10 (0.006),1.55 (0.041),0.73,0.1,0.006,1.55,0.041
s1,s1_12,XGBoost,Augmented,0.05 (0.006),1.62 (0.017),0.73,0.05,0.006,1.62,0.017
s1,s1_12,MLP Neural Net,Standard,0.07 (0.006),1.13 (0.017),0.85,0.07,0.006,1.13,0.017
s1,s1_12,MLP Neural Net,Classwise,0.03 (0.004),1.33 (0.043),0.85,0.03,0.004,1.33,0.043
s1,s1_12,MLP Neural Net,Clustered,0.06 (0.006),1.14 (0.018),0.85,0.06,0.006,1.14,0.018
s1,s1_12,MLP Neural Net,Augmented,0.04 (0.006),1.15 (0.011),0.85,0.04,0.006,1.15,0.011
s1,s1_13,Random Forest,Standard,0.09 (0.009),2.02 (0.061),0.58,0.09,0.009,2.02,0.061
s1,s1_13,Random Forest,Classwise,0.04 (0.006),2.94 (0.125),0.58,0.04,0.006,2.94,0.125
s1,s1_13,Random Forest,Clustered,0.09 (0.010),2.04 (0.065),0.58,0.09,0.01,2.04,0.065
s1,s1_13,Random Forest,Augmented,0.02 (0.005),2.50 (0.025),0.58,0.02,0.005,2.5,0.025
s1,s1_13,XGBoost,Standard,0.06 (0.007),1.45 (0.040),0.76,0.06,0.007,1.45,0.04
s1,s1_13,XGBoost,Classwise,0.04 (0.007),1.75 (0.050),0.76,0.04,0.007,1.75,0.05
s1,s1_13,XGBoost,Clustered,0.06 (0.007),1.44 (0.040),0.76,0.06,0.007,1.44,0.04
s1,s1_13,XGBoost,Augmented,0.02 (0.005),1.59 (0.017),0.76,0.02,0.005,1.59,0.017
s1,s1_13,MLP Neural Net,Standard,0.05 (0.007),1.05 (0.016),0.87,0.05,0.007,1.05,0.016
s1,s1_13,MLP Neural Net,Classwise,0.05 (0.008),1.30 (0.030),0.87,0.05,0.008,1.3,0.03
s1,s1_13,MLP Neural Net,Clustered,0.05 (0.007),1.05 (0.016),0.87,0.05,0.007,1.05,0.016
s1,s1_13,MLP Neural Net,Augmented,0.04 (0.005),1.12 (0.010),0.87,0.04,0.005,1.12,0.01
s1,s1_14,Random Forest,Standard,0.13 (0.009),2.09 (0.056),0.55,0.13,0.009,2.09,0.056
s1,s1_14,Random Forest,Classwise,0.04 (0.007),3.04 (0.097),0.55,0.04,0.007,3.04,0.097
s1,s1_14,Random Forest,Clustered,0.13 (0.009),2.10 (0.058),0.55,0.13,0.009,2.1,0.058
s1,s1_14,Random Forest,Augmented,0.05 (0.006),2.74 (0.027),0.55,0.05,0.006,2.74,0.027
s1,s1_14,XGBoost,Standard,0.09 (0.010),1.45 (0.038),0.74,0.09,0.01,1.45,0.038
s1,s1_14,XGBoost,Classwise,0.05 (0.008),1.74 (0.047),0.74,0.05,0.008,1.74,0.047
s1,s1_14,XGBoost,Clustered,0.09 (0.010),1.45 (0.039),0.74,0.09,0.01,1.45,0.039
s1,s1_14,XGBoost,Augmented,0.05 (0.006),1.59 (0.018),0.74,0.05,0.006,1.59,0.018
s1,s1_14,MLP Neural Net,Standard,0.07 (0.009),1.11 (0.018),0.83,0.07,0.009,1.11,0.018
s1,s1_14,MLP Neural Net,Classwise,0.04 (0.007),1.23 (0.021),0.83,0.04,0.007,1.23,0.021
s1,s1_14,MLP Neural Net,Clustered,0.06 (0.009),1.12 (0.018),0.83,0.06,0.009,1.12,0.018
s1,s1_14,MLP Neural Net,Augmented,0.05 (0.007),1.10 (0.010),0.83,0.05,0.007,1.1,0.01
s2,s2_1,Random Forest,Standard,0.17 (0.007),3.38 (0.069),0.43,0.17,0.007,3.38,0.069
s2,s2_1,Random Forest,Classwise,0.03 (0.006),4.33 (0.107),0.43,0.03,0.006,4.33,0.107
s2,s2_1,Random Forest,Clustered,0.17 (0.007),3.40 (0.072),0.43,0.17,0.007,3.4,0.072
s2,s2_1,Random Forest,Augmented,0.04 (0.005),4.24 (0.030),0.43,0.04,0.005,4.24,0.03
s2,s2_1,XGBoost,Standard,0.11 (0.006),1.77 (0.043),0.68,0.11,0.006,1.77,0.043
s2,s2_1,XGBoost,Classwise,0.03 (0.005),2.82 (0.092),0.68,0.03,0.005,2.82,0.092
s2,s2_1,XGBoost,Clustered,0.11 (0.006),1.77 (0.047),0.68,0.11,0.006,1.77,0.047
s2,s2_1,XGBoost,Augmented,0.03 (0.005),2.45 (0.022),0.68,0.03,0.005,2.45,0.022
s2,s2_1,MLP Neural Net,Standard,0.10 (0.006),3.12 (0.046),0.42,0.1,0.006,3.12,0.046
s2,s2_1,MLP Neural Net,Classwise,0.03 (0.004),4.06 (0.075),0.42,0.03,0.004,4.06,0.075
s2,s2_1,MLP Neural Net,Clustered,0.10 (0.006),3.13 (0.046),0.42,0.1,0.006,3.13,0.046
s2,s2_1,MLP Neural Net,Augmented,0.09 (0.005),2.93 (0.016),0.42,0.09,0.005,2.93,0.016
s2,s2_2,Random Forest,Standard,0.21 (0.009),2.82 (0.058),0.29,0.21,0.009,2.82,0.058
s2,s2_2,Random Forest,Classwise,0.04 (0.008),3.76 (0.117),0.29,0.04,0.008,3.76,0.117
s2,s2_2,Random Forest,Clustered,0.22 (0.009),2.76 (0.057),0.29,0.22,0.009,2.76,0.057
s2,s2_2,Random Forest,Augmented,0.05 (0.005),3.97 (0.032),0.29,0.05,0.005,3.97,0.032
s2,s2_2,XGBoost,Standard,0.06 (0.009),1.66 (0.044),0.71,0.06,0.009,1.66,0.044
s2,s2_2,XGBoost,Classwise,0.04 (0.005),2.00 (0.060),0.71,0.04,0.005,2,0.06
s2,s2_2,XGBoost,Clustered,0.06 (0.009),1.63 (0.045),0.71,0.06,0.009,1.63,0.045
s2,s2_2,XGBoost,Augmented,0.03 (0.005),1.84 (0.018),0.71,0.03,0.005,1.84,0.018
s2,s2_2,MLP Neural Net,Standard,0.10 (0.006),1.76 (0.034),0.65,0.1,0.006,1.76,0.034
s2,s2_2,MLP Neural Net,Classwise,0.05 (0.007),2.18 (0.057),0.65,0.05,0.007,2.18,0.057
s2,s2_2,MLP Neural Net,Clustered,0.10 (0.006),1.77 (0.037),0.65,0.1,0.006,1.77,0.037
s2,s2_2,MLP Neural Net,Augmented,0.09 (0.005),1.65 (0.014),0.65,0.09,0.005,1.65,0.014
