Scenario,Experiment,Model,Method,CovGap,AvgSize,F1 Score,CovGap_mean,CovGap_se,AvgSize_mean,AvgSize_se
s3,s3_1,Random Forest,Standard,0.08 (0.006),3.57 (0.101),0.50,0.08,0.006,3.57,0.101
s3,s3_1,Random Forest,Classwise,0.02 (0.004),4.89 (0.096),0.50,0.02,0.004,4.89,0.096
s3,s3_1,Random Forest,Clustered,0.08 (0.006),3.58 (0.107),0.50,0.08,0.006,3.58,0.107
s3,s3_1,Random Forest,Augmented,0.02 (0.004),3.94 (0.032),0.50,0.02,0.004,3.94,0.032
s3,s3_1,XGBoost,Standard,0.07 (0.005),3.21 (0.073),0.50,0.07,0.005,3.21,0.073
s3,s3_1,XGBoost,Classwise,0.03 (0.005),4.45 (0.113),0.50,0.03,0.005,4.45,0.113
s3,s3_1,XGBoost,Clustered,0.07 (0.005),3.24 (0.076),0.50,0.07,0.005,3.24,0.076
s3,s3_1,XGBoost,Augmented,0.04 (0.005),3.28 (0.027),0.50,0.04,0.005,3.28,0.027
s3,s3_1,MLP Neural Net,Standard,0.04 (0.006),2.23 (0.056),0.67,0.04,0.006,2.23,0.056
s3,s3_1,MLP Neural Net,Classwise,0.03 (0.005),3.66 (0.068),0.67,0.03,0.005,3.66,0.068
s3,s3_1,MLP Neural Net,Clustered,0.04 (0.006),2.27 (0.061),0.67,0.04,0.006,2.27,0.061
s3,s3_1,MLP Neural Net,Augmented,0.04 (0.006),2.33 (0.022),0.67,0.04,0.006,2.33,0.022
s3,s3_2,Random Forest,Standard,0.09 (0.007),4.68 (0.092),0.35,0.09,0.007,4.68,0.092
s3,s3_2,Random Forest,Classwise,0.03 (0.004),5.81 (0.121),0.35,0.03,0.004,5.81,0.121
s3,s3_2,Random Forest,Clustered,0.09 (0.007),4.69 (0.093),0.35,0.09,0.007,4.69,0.093
s3,s3_2,Random Forest,Augmented,0.02 (0.004),5.27 (0.035),0.35,0.02,0.004,5.27,0.035
s3,s3_2,XGBoost,Standard,0.07 (0.005),4.08 (0.076),0.41,0.07,0.005,4.08,0.076
s3,s3_2,XGBoost,Classwise,0.03 (0.004),5.05 (0.122),0.41,0.03,0.004,5.05,0.122
s3,s3_2,XGBoost,Clustered,0.07 (0.005),4.04 (0.077),0.41,0.07,0.005,4.04,0.077
s3,s3_2,XGBoost,Augmented,0.03 (0.004),4.16 (0.030),0.41,0.03,0.004,4.16,0.03
s3,s3_2,MLP Neural Net,Standard,0.04 (0.002),3.40 (0.051),0.53,0.04,0.002,3.4,0.051
s3,s3_2,MLP Neural Net,Classwise,0.03 (0.001),4.42 (0.039),0.53,0.03,0.001,4.42,0.039
s3,s3_2,MLP Neural Net,Clustered,0.04 (0.002),3.39 (0.051),0.53,0.04,0.002,3.39,0.051
s3,s3_2,MLP Neural Net,Augmented,0.02 (0.003),3.20 (0.016),0.53,0.02,0.003,3.2,0.016
s3,s3_3,Random Forest,Standard,0.12 (0.008),6.48 (0.068),0.13,0.12,0.008,6.48,0.068
s3,s3_3,Random Forest,Classwise,0.02 (0.004),7.36 (0.065),0.13,0.02,0.004,7.36,0.065
s3,s3_3,Random Forest,Clustered,0.13 (0.008),6.41 (0.071),0.13,0.13,0.008,6.41,0.071
s3,s3_3,Random Forest,Augmented,0.02 (0.004),7.34 (0.020),0.13,0.02,0.004,7.34,0.02
s3,s3_3,XGBoost,Standard,0.09 (0.006),5.03 (0.111),0.31,0.09,0.006,5.03,0.111
s3,s3_3,XGBoost,Classwise,0.03 (0.005),6.08 (0.103),0.31,0.03,0.005,6.08,0.103
s3,s3_3,XGBoost,Clustered,0.10 (0.007),4.97 (0.113),0.31,0.1,0.007,4.97,0.113
s3,s3_3,XGBoost,Augmented,0.03 (0.004),5.46 (0.030),0.31,0.03,0.004,5.46,0.03
s3,s3_3,MLP Neural Net,Standard,0.04 (0.006),6.87 (0.049),0.18,0.04,0.006,6.87,0.049
s3,s3_3,MLP Neural Net,Classwise,0.02 (0.003),7.31 (0.025),0.18,0.02,0.003,7.31,0.025
s3,s3_3,MLP Neural Net,Clustered,0.04 (0.006),6.92 (0.056),0.18,0.04,0.006,6.92,0.056
s3,s3_3,MLP Neural Net,Augmented,0.08 (0.004),6.46 (0.015),0.18,0.08,0.004,6.46,0.015
s3,s3_4,Random Forest,Standard,0.12 (0.006),3.76 (0.084),0.42,0.12,0.006,3.76,0.084
s3,s3_4,Random Forest,Classwise,0.03 (0.005),5.07 (0.151),0.42,0.03,0.005,5.07,0.151
s3,s3_4,Random Forest,Clustered,0.12 (0.006),3.76 (0.086),0.42,0.12,0.006,3.76,0.086
s3,s3_4,Random Forest,Augmented,0.02 (0.003),5.07 (0.040),0.42,0.02,0.003,5.07,0.04
s3,s3_4,XGBoost,Standard,0.07 (0.005),2.48 (0.065),0.67,0.07,0.005,2.48,0.065
s3,s3_4,XGBoost,Classwise,0.03 (0.003),3.58 (0.119),0.67,0.03,0.003,3.58,0.119
s3,s3_4,XGBoost,Clustered,0.07 (0.005),2.46 (0.066),0.67,0.07,0.005,2.46,0.066
s3,s3_4,XGBoost,Augmented,0.02 (0.004),2.98 (0.028),0.67,0.02,0.004,2.98,0.028
s3,s3_4,MLP Neural Net,Standard,0.04 (0.005),1.28 (0.026),0.85,0.04,0.005,1.28,0.026
s3,s3_4,MLP Neural Net,Classwise,0.03 (0.005),2.18 (0.056),0.85,0.03,0.005,2.18,0.056
s3,s3_4,MLP Neural Net,Clustered,0.04 (0.006),1.27 (0.027),0.85,0.04,0.006,1.27,0.027
s3,s3_4,MLP Neural Net,Augmented,0.03 (0.005),1.39 (0.011),0.85,0.03,0.005,1.39,0.011
s3,s3_5,Random Forest,Standard,0.11 (0.008),6.60 (0.069),0.12,0.11,0.008,6.6,0.069
s3,s3_5,Random Forest,Classwise,0.02 (0.005),7.33 (0.082),0.12,0.02,0.005,7.33,0.082
s3,s3_5,Random Forest,Clustered,0.12 (0.008),6.47 (0.080),0.12,0.12,0.008,6.47,0.08
s3,s3_5,Random Forest,Augmented,0.03 (0.004),7.30 (0.021),0.12,0.03,0.004,7.3,0.021
s3,s3_5,XGBoost,Standard,0.10 (0.007),5.07 (0.092),0.32,0.1,0.007,5.07,0.092
s3,s3_5,XGBoost,Classwise,0.03 (0.004),6.25 (0.110),0.32,0.03,0.004,6.25,0.11
s3,s3_5,XGBoost,Clustered,0.10 (0.007),5.05 (0.091),0.32,0.1,0.007,5.05,0.091
