Scenario,Experiment,Model,Method,CovGap,AvgSize,F1 Score,CovGap_mean,CovGap_se,AvgSize_mean,AvgSize_se
s3,s3_5,XGBoost,Augmented,0.02 (0.004),5.64 (0.033),0.32,0.02,0.004,5.64,0.033
s3,s3_5,MLP Neural Net,Standard,0.06 (0.005),3.79 (0.088),0.50,0.06,0.005,3.79,0.088
s3,s3_5,MLP Neural Net,Classwise,0.05 (0.005),4.76 (0.085),0.50,0.05,0.005,4.76,0.085
s3,s3_5,MLP Neural Net,Clustered,0.06 (0.005),3.73 (0.076),0.50,0.06,0.005,3.73,0.076
s3,s3_5,MLP Neural Net,Augmented,0.07 (0.005),3.43 (0.021),0.50,0.07,0.005,3.43,0.021
s3,s3_6,Random Forest,Standard,0.06 (0.003),3.21 (0.031),0.51,0.06,0.003,3.21,0.031
s3,s3_6,Random Forest,Classwise,0.01 (0.002),3.88 (0.054),0.51,0.01,0.002,3.88,0.054
s3,s3_6,Random Forest,Clustered,0.06 (0.003),3.24 (0.034),0.51,0.06,0.003,3.24,0.034
s3,s3_6,Random Forest,Augmented,0.01 (0.002),3.60 (0.026),0.51,0.01,0.002,3.6,0.026
s3,s3_6,XGBoost,Standard,0.05 (0.003),3.01 (0.030),0.53,0.05,0.003,3.01,0.03
s3,s3_6,XGBoost,Classwise,0.01 (0.002),3.49 (0.045),0.53,0.01,0.002,3.49,0.045
s3,s3_6,XGBoost,Clustered,0.05 (0.003),3.02 (0.031),0.53,0.05,0.003,3.02,0.031
s3,s3_6,XGBoost,Augmented,0.02 (0.002),3.18 (0.023),0.53,0.02,0.002,3.18,0.023
s3,s3_6,MLP Neural Net,Standard,0.04 (0.003),2.36 (0.022),0.64,0.04,0.003,2.36,0.022
s3,s3_6,MLP Neural Net,Classwise,0.01 (0.003),2.58 (0.031),0.64,0.01,0.003,2.58,0.031
s3,s3_6,MLP Neural Net,Clustered,0.03 (0.003),2.37 (0.023),0.64,0.03,0.003,2.37,0.023
s3,s3_6,MLP Neural Net,Augmented,0.02 (0.002),2.43 (0.018),0.64,0.02,0.002,2.43,0.018
s3,s3_7,Random Forest,Standard,0.08 (0.002),3.86 (0.034),0.42,0.08,0.002,3.86,0.034
s3,s3_7,Random Forest,Classwise,0.01 (0.002),4.59 (0.055),0.42,0.01,0.002,4.59,0.055
s3,s3_7,Random Forest,Clustered,0.07 (0.002),3.88 (0.036),0.42,0.07,0.002,3.88,0.036
s3,s3_7,Random Forest,Augmented,0.01 (0.002),4.53 (0.030),0.42,0.01,0.002,4.53,0.03
s3,s3_7,XGBoost,Standard,0.06 (0.003),3.35 (0.030),0.51,0.06,0.003,3.35,0.03
s3,s3_7,XGBoost,Classwise,0.01 (0.002),3.88 (0.047),0.51,0.01,0.002,3.88,0.047
s3,s3_7,XGBoost,Clustered,0.06 (0.003),3.34 (0.033),0.51,0.06,0.003,3.34,0.033
s3,s3_7,XGBoost,Augmented,0.02 (0.002),3.52 (0.025),0.51,0.02,0.002,3.52,0.025
s3,s3_7,MLP Neural Net,Standard,0.04 (0.003),2.49 (0.023),0.62,0.04,0.003,2.49,0.023
s3,s3_7,MLP Neural Net,Classwise,0.01 (0.002),2.78 (0.032),0.62,0.01,0.002,2.78,0.032
s3,s3_7,MLP Neural Net,Clustered,0.04 (0.003),2.50 (0.024),0.62,0.04,0.003,2.5,0.024
s3,s3_7,MLP Neural Net,Augmented,0.02 (0.002),2.63 (0.019),0.62,0.02,0.002,2.63,0.019
s3,s3_8,Random Forest,Standard,0.12 (0.003),5.59 (0.034),0.17,0.12,0.003,5.59,0.034
s3,s3_8,Random Forest,Classwise,0.01 (0.003),6.34 (0.059),0.17,0.01,0.003,6.34,0.059
s3,s3_8,Random Forest,Clustered,0.12 (0.003),5.57 (0.036),0.17,0.12,0.003,5.57,0.036
s3,s3_8,Random Forest,Augmented,0.01 (0.002),6.67 (0.027),0.17,0.01,0.002,6.67,0.027
s3,s3_8,XGBoost,Standard,0.08 (0.003),3.87 (0.032),0.41,0.08,0.003,3.87,0.032
s3,s3_8,XGBoost,Classwise,0.01 (0.002),4.69 (0.056),0.41,0.01,0.002,4.69,0.056
s3,s3_8,XGBoost,Clustered,0.08 (0.003),3.86 (0.034),0.41,0.08,0.003,3.86,0.034
s3,s3_8,XGBoost,Augmented,0.02 (0.002),4.33 (0.027),0.41,0.02,0.002,4.33,0.027
s3,s3_8,MLP Neural Net,Standard,0.04 (0.001),4.12 (0.012),0.43,0.04,0.001,4.12,0.012
s3,s3_8,MLP Neural Net,Classwise,0.02 (0.001),5.66 (0.039),0.43,0.02,0.001,5.66,0.039
s3,s3_8,MLP Neural Net,Clustered,0.04 (0.001),4.13 (0.013),0.43,0.04,0.001,4.13,0.013
s3,s3_8,MLP Neural Net,Augmented,0.02 (0.001),4.86 (0.011),0.43,0.02,0.001,4.86,0.011
s3,s3_9,Random Forest,Standard,0.06 (0.002),2.68 (0.039),0.64,0.06,0.002,2.68,0.039
s3,s3_9,Random Forest,Classwise,0.01 (0.002),3.45 (0.061),0.64,0.01,0.002,3.45,0.061
s3,s3_9,Random Forest,Clustered,0.06 (0.002),2.71 (0.040),0.64,0.06,0.002,2.71,0.04
s3,s3_9,Random Forest,Augmented,0.01 (0.002),3.17 (0.032),0.64,0.01,0.002,3.17,0.032
s3,s3_9,XGBoost,Standard,0.02 (0.002),1.93 (0.031),0.82,0.02,0.002,1.93,0.031
s3,s3_9,XGBoost,Classwise,0.01 (0.002),2.38 (0.045),0.82,0.01,0.002,2.38,0.045
s3,s3_9,XGBoost,Clustered,0.02 (0.002),1.94 (0.033),0.82,0.02,0.002,1.94,0.033
s3,s3_9,XGBoost,Augmented,0.01 (0.002),1.99 (0.023),0.82,0.01,0.002,1.99,0.023
s3,s3_9,MLP Neural Net,Standard,0.02 (0.002),1.08 (0.005),0.91,0.02,0.002,1.08,0.005
s3,s3_9,MLP Neural Net,Classwise,0.02 (0.001),1.38 (0.022),0.91,0.02,0.001,1.38,0.022
s3,s3_9,MLP Neural Net,Clustered,0.02 (0.002),1.08 (0.005),0.91,0.02,0.002,1.08,0.005
s3,s3_9,MLP Neural Net,Augmented,0.01 (0.002),1.15 (0.005),0.91,0.01,0.002,1.15,0.005
s3,s3_10,Random Forest,Standard,0.11 (0.002),5.03 (0.035),0.23,0.11,0.002,5.03,0.035
s3,s3_10,Random Forest,Classwise,0.01 (0.002),5.71 (0.069),0.23,0.01,0.002,5.71,0.069
s3,s3_10,Random Forest,Clustered,0.11 (0.002),5.06 (0.037),0.23,0.11,0.002,5.06,0.037
s3,s3_10,Random Forest,Augmented,0.01 (0.002),5.86 (0.037),0.23,0.01,0.002,5.86,0.037
s3,s3_10,XGBoost,Standard,0.07 (0.002),2.86 (0.035),0.62,0.07,0.002,2.86,0.035
s3,s3_10,XGBoost,Classwise,0.02 (0.002),3.48 (0.061),0.62,0.02,0.002,3.48,0.061
s3,s3_10,XGBoost,Clustered,0.07 (0.002),2.87 (0.036),0.62,0.07,0.002,2.87,0.036
s3,s3_10,XGBoost,Augmented,0.03 (0.002),3.06 (0.029),0.62,0.03,0.002,3.06,0.029
s3,s3_10,MLP Neural Net,Standard,0.04 (0.002),1.40 (0.009),0.80,0.04,0.002,1.4,0.009
s3,s3_10,MLP Neural Net,Classwise,0.01 (0.001),1.74 (0.022),0.80,0.01,0.001,1.74,0.022
s3,s3_10,MLP Neural Net,Clustered,0.04 (0.002),1.40 (0.009),0.80,0.04,0.002,1.4,0.009
s3,s3_10,MLP Neural Net,Augmented,0.01 (0.001),1.54 (0.009),0.80,0.01,0.001,1.54,0.009
s4,s4_1,Random Forest,Standard,0.01 (0.002),2.03 (0.027),0.81,0.01,0.002,2.03,0.027
s4,s4_1,Random Forest,Classwise,0.01 (0.002),2.05 (0.028),0.81,0.01,0.002,2.05,0.028
s4,s4_1,Random Forest,Clustered,0.01 (0.002),2.03 (0.029),0.81,0.01,0.002,2.03,0.029
s4,s4_1,Random Forest,Augmented,0.01 (0.002),2.01 (0.023),0.81,0.01,0.002,2.01,0.023
s4,s4_1,XGBoost,Standard,0.01 (0.001),1.79 (0.021),0.81,0.01,0.001,1.79,0.021
s4,s4_1,XGBoost,Classwise,0.01 (0.002),1.83 (0.022),0.81,0.01,0.002,1.83,0.022
s4,s4_1,XGBoost,Clustered,0.01 (0.001),1.80 (0.023),0.81,0.01,0.001,1.8,0.023
s4,s4_1,XGBoost,Augmented,0.01 (0.002),1.79 (0.016),0.81,0.01,0.002,1.79,0.016
s4,s4_1,MLP Neural Net,Standard,0.01 (0.002),1.42 (0.015),0.88,0.01,0.002,1.42,0.015
s4,s4_1,MLP Neural Net,Classwise,0.01 (0.002),1.47 (0.019),0.88,0.01,0.002,1.47,0.019
s4,s4_1,MLP Neural Net,Clustered,0.01 (0.002),1.42 (0.016),0.88,0.01,0.002,1.42,0.016
s4,s4_1,MLP Neural Net,Augmented,0.01 (0.002),1.44 (0.014),0.88,0.01,0.002,1.44,0.014
s4,s4_2,Random Forest,Standard,0.02 (0.002),2.31 (0.030),0.78,0.02,0.002,2.31,0.03
s4,s4_2,Random Forest,Classwise,0.01 (0.002),2.36 (0.031),0.78,0.01,0.002,2.36,0.031
s4,s4_2,Random Forest,Clustered,0.02 (0.002),2.31 (0.032),0.78,0.02,0.002,2.31,0.032
s4,s4_2,Random Forest,Augmented,0.01 (0.002),2.35 (0.025),0.78,0.01,0.002,2.35,0.025
s4,s4_2,XGBoost,Standard,0.01 (0.001),1.92 (0.021),0.80,0.01,0.001,1.92,0.021
s4,s4_2,XGBoost,Classwise,0.01 (0.002),1.95 (0.024),0.80,0.01,0.002,1.95,0.024
s4,s4_2,XGBoost,Clustered,0.01 (0.001),1.92 (0.023),0.80,0.01,0.001,1.92,0.023
s4,s4_2,XGBoost,Augmented,0.01 (0.002),1.89 (0.018),0.80,0.01,0.002,1.89,0.018
s4,s4_2,MLP Neural Net,Standard,0.01 (0.002),1.50 (0.015),0.86,0.01,0.002,1.5,0.015
s4,s4_2,MLP Neural Net,Classwise,0.01 (0.002),1.55 (0.018),0.86,0.01,0.002,1.55,0.018
s4,s4_2,MLP Neural Net,Clustered,0.01 (0.002),1.49 (0.015),0.86,0.01,0.002,1.49,0.015
s4,s4_2,MLP Neural Net,Augmented,0.01 (0.002),1.51 (0.013),0.86,0.01,0.002,1.51,0.013
s4,s4_3,Random Forest,Standard,0.02 (0.001),2.50 (0.034),0.77,0.02,0.001,2.5,0.034
s4,s4_3,Random Forest,Classwise,0.01 (0.002),2.60 (0.033),0.77,0.01,0.002,2.6,0.033
s4,s4_3,Random Forest,Clustered,0.02 (0.001),2.50 (0.036),0.77,0.02,0.001,2.5,0.036
s4,s4_3,Random Forest,Augmented,0.01 (0.002),2.48 (0.026),0.77,0.01,0.002,2.48,0.026
s4,s4_3,XGBoost,Standard,0.01 (0.001),1.98 (0.024),0.80,0.01,0.001,1.98,0.024
s4,s4_3,XGBoost,Classwise,0.01 (0.002),2.00 (0.023),0.80,0.01,0.002,2.0,0.023
s4,s4_3,XGBoost,Clustered,0.01 (0.001),1.99 (0.025),0.80,0.01,0.001,1.99,0.025
s4,s4_3,XGBoost,Augmented,0.01 (0.002),1.88 (0.017),0.80,0.01,0.002,1.88,0.017
s4,s4_3,MLP Neural Net,Standard,0.02 (0.001),1.58 (0.015),0.84,0.02,0.001,1.58,0.015
s4,s4_3,MLP Neural Net,Classwise,0.01 (0.002),1.64 (0.018),0.84,0.01,0.002,1.64,0.018
s4,s4_3,MLP Neural Net,Clustered,0.02 (0.001),1.58 (0.016),0.84,0.02,0.001,1.58,0.016
s4,s4_3,MLP Neural Net,Augmented,0.01 (0.002),1.56 (0.013),0.84,0.01,0.002,1.56,0.013
s4,s4_4,Random Forest,Standard,0.01 (0.002),1.91 (0.031),0.89,0.01,0.002,1.91,0.031
s4,s4_4,Random Forest,Classwise,0.01 (0.002),1.91 (0.032),0.89,0.01,0.002,1.91,0.032
s4,s4_4,Random Forest,Clustered,0.01 (0.002),1.91 (0.033),0.89,0.01,0.002,1.91,0.033
s4,s4_4,Random Forest,Augmented,0.01 (0.002),1.94 (0.026),0.89,0.01,0.002,1.94,0.026
s4,s4_4,XGBoost,Standard,0.01 (0.002),1.39 (0.017),0.91,0.01,0.002,1.39,0.017
s4,s4_4,XGBoost,Classwise,0.01 (0.002),1.39 (0.017),0.91,0.01,0.002,1.39,0.017
s4,s4_4,XGBoost,Clustered,0.01 (0.002),1.39 (0.017),0.91,0.01,0.002,1.39,0.017
s4,s4_4,XGBoost,Augmented,0.01 (0.002),1.38 (0.013),0.91,0.01,0.002,1.38,0.013
s4,s4_4,MLP Neural Net,Standard,0.01 (0.001),1.08 (0.005),0.94,0.01,0.001,1.08,0.005
s4,s4_4,MLP Neural Net,Classwise,0.01 (0.002),1.08 (0.005),0.94,0.01,0.002,1.08,0.005
s4,s4_4,MLP Neural Net,Clustered,0.01 (0.002),1.08 (0.005),0.94,0.01,0.002,1.08,0.005
s4,s4_4,MLP Neural Net,Augmented,0.01 (0.002),1.07 (0.004),0.94,0.01,0.002,1.07,0.004
s4,s4_5,Random Forest,Standard,0.01 (0.002),1.90 (0.031),0.88,0.01,0.002,1.9,0.031
s4,s4_5,Random Forest,Classwise,0.01 (0.002),1.91 (0.030),0.88,0.01,0.002,1.91,0.03
s4,s4_5,Random Forest,Clustered,0.01 (0.002),1.91 (0.032),0.88,0.01,0.002,1.91,0.032
s4,s4_5,Random Forest,Augmented,0.01 (0.002),1.94 (0.026),0.88,0.01,0.002,1.94,0.026
s4,s4_5,XGBoost,Standard,0.01 (0.002),1.40 (0.017),0.91,0.01,0.002,1.4,0.017
s4,s4_5,XGBoost,Classwise,0.01 (0.002),1.40 (0.017),0.91,0.01,0.002,1.4,0.017
s4,s4_5,XGBoost,Clustered,0.01 (0.002),1.40 (0.018),0.91,0.01,0.002,1.4,0.018
s4,s4_5,XGBoost,Augmented,0.01 (0.002),1.38 (0.013),0.91,0.01,0.002,1.38,0.013
s4,s4_5,MLP Neural Net,Standard,0.01 (0.001),1.10 (0.005),0.93,0.01,0.001,1.1,0.005
s4,s4_5,MLP Neural Net,Classwise,0.01 (0.002),1.11 (0.005),0.93,0.01,0.002,1.11,0.005
s4,s4_5,MLP Neural Net,Clustered,0.01 (0.001),1.10 (0.005),0.93,0.01,0.001,1.1,0.005
s4,s4_5,MLP Neural Net,Augmented,0.01 (0.002),1.08 (0.004),0.93,0.01,0.002,1.08,0.004
s4,s4_6,Random Forest,Standard,0.01 (0.002),1.98 (0.033),0.90,0.01,0.002,1.98,0.033
s4,s4_6,Random Forest,Classwise,0.01 (0.002),2.00 (0.034),0.90,0.01,0.002,2.0,0.034
s4,s4_6,Random Forest,Clustered,0.01 (0.002),1.99 (0.036),0.90,0.01,0.002,1.99,0.036
s4,s4_6,Random Forest,Augmented,0.01 (0.002),2.01 (0.028),0.90,0.01,0.002,2.01,0.028
s4,s4_6,XGBoost,Standard,0.01 (0.002),1.37 (0.019),0.93,0.01,0.002,1.37,0.019
s4,s4_6,XGBoost,Classwise,0.01 (0.003),1.38 (0.019),0.93,0.01,0.003,1.38,0.019
s4,s4_6,XGBoost,Clustered,0.01 (0.002),1.37 (0.019),0.93,0.01,0.002,1.37,0.019
s4,s4_6,XGBoost,Augmented,0.01 (0.002),1.36 (0.014),0.93,0.01,0.002,1.36,0.014
s4,s4_6,MLP Neural Net,Standard,0.01 (0.002),1.07 (0.005),0.94,0.01,0.002,1.07,0.005
s4,s4_6,MLP Neural Net,Classwise,0.01 (0.002),1.07 (0.005),0.94,0.01,0.002,1.07,0.005
s4,s4_6,MLP Neural Net,Clustered,0.01 (0.002),1.07 (0.005),0.94,0.01,0.002,1.07,0.005
s4,s4_6,MLP Neural Net,Augmented,0.01 (0.002),1.06 (0.004),0.94,0.01,0.002,1.06,0.004
s4,s4_7,Random Forest,Standard,0.01 (0.002),1.96 (0.031),0.88,0.01,0.002,1.96,0.031
s4,s4_7,Random Forest,Classwise,0.01 (0.002),1.97 (0.033),0.88,0.01,0.002,1.97,0.033
s4,s4_7,Random Forest,Clustered,0.01 (0.002),1.97 (0.033),0.88,0.01,0.002,1.97,0.033
s4,s4_7,Random Forest,Augmented,0.01 (0.002),2.01 (0.027),0.88,0.01,0.002,2.01,0.027
s4,s4_7,XGBoost,Standard,0.01 (0.002),1.42 (0.018),0.92,0.01,0.002,1.42,0.018
s4,s4_7,XGBoost,Classwise,0.01 (0.002),1.43 (0.019),0.92,0.01,0.002,1.43,0.019
s4,s4_7,XGBoost,Clustered,0.01 (0.002),1.41 (0.019),0.92,0.01,0.002,1.41,0.019
s4,s4_7,XGBoost,Augmented,0.01 (0.002),1.41 (0.015),0.92,0.01,0.002,1.41,0.015
s4,s4_7,MLP Neural Net,Standard,0.01 (0.001),1.06 (0.004),0.94,0.01,0.001,1.06,0.004
s4,s4_7,MLP Neural Net,Classwise,0.01 (0.002),1.06 (0.004),0.94,0.01,0.002,1.06,0.004
s4,s4_7,MLP Neural Net,Clustered,0.01 (0.001),1.06 (0.004),0.94,0.01,0.001,1.06,0.004
s4,s4_7,MLP Neural Net,Augmented,0.01 (0.002),1.05 (0.004),0.94,0.01,0.002,1.05,0.004
