Scenario,Experiment,Model,Method,CovGap,AvgSize,F1 Score,CovGap_mean,CovGap_se,AvgSize_mean,AvgSize_se
s2,s2_7,MLP Neural Net,Classwise,0.02 (0.003),3.76 (0.175),0.54,0.02,0.003,3.76,0.175
s2,s2_7,MLP Neural Net,Clustered,0.03 (0.001),2.95 (0.014),0.54,0.03,0.001,2.95,0.014
s2,s2_7,MLP Neural Net,Augmented,0.03 (0.001),3.13 (0.008),0.54,0.03,0.001,3.13,0.008
s2,s2_8,Random Forest,Standard,0.09 (0.003),3.52 (0.036),0.43,0.09,0.003,3.52,0.036
s2,s2_8,Random Forest,Classwise,0.01 (0.002),4.30 (0.071),0.43,0.01,0.002,4.3,0.071
s2,s2_8,Random Forest,Clustered,0.09 (0.003),3.53 (0.037),0.43,0.09,0.003,3.53,0.037
s2,s2_8,Random Forest,Augmented,0.01 (0.002),4.08 (0.032),0.43,0.01,0.002,4.08,0.032
s2,s2_8,XGBoost,Standard,0.02 (0.002),1.71 (0.025),0.82,0.02,0.002,1.71,0.025
s2,s2_8,XGBoost,Classwise,0.01 (0.002),1.90 (0.034),0.82,0.01,0.002,1.9,0.034
s2,s2_8,XGBoost,Clustered,0.02 (0.002),1.70 (0.026),0.82,0.02,0.002,1.7,0.026
s2,s2_8,XGBoost,Augmented,0.01 (0.002),1.73 (0.018),0.82,0.01,0.002,1.73,0.018
s2,s2_8,MLP Neural Net,Standard,0.04 (0.001),1.31 (0.007),0.82,0.04,0.001,1.31,0.007
s2,s2_8,MLP Neural Net,Classwise,0.01 (0.001),1.78 (0.019),0.82,0.01,0.001,1.78,0.019
s2,s2_8,MLP Neural Net,Clustered,0.04 (0.002),1.31 (0.008),0.82,0.04,0.002,1.31,0.008
s2,s2_8,MLP Neural Net,Augmented,0.01 (0.001),1.47 (0.008),0.82,0.01,0.001,1.47,0.008
