Scenario,Experiment,Model,Method,CovGap,AvgSize,F1 Score,CovGap_mean,CovGap_se,AvgSize_mean,AvgSize_se
s2,s2_3,Random Forest,Standard,0.09 (0.003),3.36 (0.040),0.56,0.09,0.003,3.36,0.04
s2,s2_3,Random Forest,Classwise,0.01 (0.002),4.30 (0.064),0.56,0.01,0.002,4.3,0.064
s2,s2_3,Random Forest,Clustered,0.10 (0.003),3.36 (0.041),0.56,0.1,0.003,3.36,0.041
s2,s2_3,Random Forest,Augmented,0.02 (0.002),3.99 (0.033),0.56,0.02,0.002,3.99,0.033
s2,s2_3,XGBoost,Standard,0.04 (0.003),1.88 (0.023),0.73,0.04,0.003,1.88,0.023
s2,s2_3,XGBoost,Classwise,0.01 (0.002),2.32 (0.045),0.73,0.01,0.002,2.32,0.045
s2,s2_3,XGBoost,Clustered,0.04 (0.003),1.89 (0.024),0.73,0.04,0.003,1.89,0.024
s2,s2_3,XGBoost,Augmented,0.02 (0.002),2.03 (0.018),0.73,0.02,0.002,2.03,0.018
s2,s2_3,MLP Neural Net,Standard,0.04 (0.001),2.49 (0.013),0.63,0.04,0.001,2.49,0.013
s2,s2_3,MLP Neural Net,Classwise,0.01 (0.001),2.91 (0.016),0.63,0.01,0.001,2.91,0.016
s2,s2_3,MLP Neural Net,Clustered,0.04 (0.001),2.50 (0.014),0.63,0.04,0.001,2.5,0.014
s2,s2_3,MLP Neural Net,Augmented,0.02 (0.001),2.49 (0.010),0.63,0.02,0.001,2.49,0.01
s2,s2_4,Random Forest,Standard,0.07 (0.002),2.92 (0.034),0.54,0.07,0.002,2.92,0.034
s2,s2_4,Random Forest,Classwise,0.01 (0.002),3.68 (0.065),0.54,0.01,0.002,3.68,0.065
s2,s2_4,Random Forest,Clustered,0.07 (0.002),2.94 (0.036),0.54,0.07,0.002,2.94,0.036
s2,s2_4,Random Forest,Augmented,0.02 (0.002),3.40 (0.032),0.54,0.02,0.002,3.4,0.032
s2,s2_4,XGBoost,Standard,0.02 (0.002),1.44 (0.019),0.87,0.02,0.002,1.44,0.019
s2,s2_4,XGBoost,Classwise,0.01 (0.002),1.56 (0.025),0.87,0.01,0.002,1.56,0.025
s2,s2_4,XGBoost,Clustered,0.02 (0.002),1.44 (0.019),0.87,0.02,0.002,1.44,0.019
s2,s2_4,XGBoost,Augmented,0.01 (0.002),1.46 (0.014),0.87,0.01,0.002,1.46,0.014
s2,s2_4,MLP Neural Net,Standard,0.04 (0.002),1.23 (0.007),0.84,0.04,0.002,1.23,0.007
s2,s2_4,MLP Neural Net,Classwise,0.01 (0.001),1.55 (0.016),0.84,0.01,0.001,1.55,0.016
s2,s2_4,MLP Neural Net,Clustered,0.04 (0.002),1.24 (0.008),0.84,0.04,0.002,1.24,0.008
s2,s2_4,MLP Neural Net,Augmented,0.01 (0.001),1.32 (0.006),0.84,0.01,0.001,1.32,0.006
s2,s2_5,Random Forest,Standard,0.11 (0.008),5.07 (0.095),0.32,0.11,0.008,5.07,0.095
s2,s2_5,Random Forest,Classwise,0.02 (0.005),6.07 (0.137),0.32,0.02,0.005,6.07,0.137
s2,s2_5,Random Forest,Clustered,0.12 (0.008),5.01 (0.097),0.32,0.12,0.008,5.01,0.097
s2,s2_5,Random Forest,Augmented,0.02 (0.003),5.74 (0.034),0.32,0.02,0.003,5.74,0.034
s2,s2_5,XGBoost,Standard,0.08 (0.006),3.09 (0.081),0.58,0.08,0.006,3.09,0.081
s2,s2_5,XGBoost,Classwise,0.02 (0.003),4.48 (0.120),0.58,0.02,0.003,4.48,0.12
s2,s2_5,XGBoost,Clustered,0.08 (0.006),3.09 (0.083),0.58,0.08,0.006,3.09,0.083
s2,s2_5,XGBoost,Augmented,0.02 (0.003),3.66 (0.029),0.58,0.02,0.003,3.66,0.029
s2,s2_5,MLP Neural Net,Standard,0.04 (0.005),5.14 (0.062),0.33,0.04,0.005,5.14,0.062
s2,s2_5,MLP Neural Net,Classwise,0.03 (0.005),5.81 (0.062),0.33,0.03,0.005,5.81,0.062
s2,s2_5,MLP Neural Net,Clustered,0.04 (0.004),5.20 (0.066),0.33,0.04,0.004,5.2,0.066
s2,s2_5,MLP Neural Net,Augmented,0.08 (0.004),4.51 (0.020),0.33,0.08,0.004,4.51,0.02
s2,s2_6,Random Forest,Standard,0.07 (0.007),5.37 (0.109),0.24,0.07,0.007,5.37,0.109
s2,s2_6,Random Forest,Classwise,0.03 (0.005),5.76 (0.161),0.24,0.03,0.005,5.76,0.161
s2,s2_6,Random Forest,Clustered,0.09 (0.009),5.08 (0.113),0.24,0.09,0.009,5.08,0.113
s2,s2_6,Random Forest,Augmented,0.03 (0.003),5.71 (0.040),0.24,0.03,0.003,5.71,0.04
s2,s2_6,XGBoost,Standard,0.03 (0.004),2.62 (0.078),0.61,0.03,0.004,2.62,0.078
s2,s2_6,XGBoost,Classwise,0.02 (0.003),3.31 (0.100),0.61,0.02,0.003,3.31,0.1
s2,s2_6,XGBoost,Clustered,0.04 (0.005),2.55 (0.089),0.61,0.04,0.005,2.55,0.089
s2,s2_6,XGBoost,Augmented,0.03 (0.004),2.89 (0.028),0.61,0.03,0.004,2.89,0.028
s2,s2_6,MLP Neural Net,Standard,0.07 (0.005),2.74 (0.065),0.58,0.07,0.005,2.74,0.065
s2,s2_6,MLP Neural Net,Classwise,0.03 (0.002),4.07 (0.051),0.58,0.03,0.002,4.07,0.051
s2,s2_6,MLP Neural Net,Clustered,0.07 (0.005),2.66 (0.058),0.58,0.07,0.005,2.66,0.058
s2,s2_6,MLP Neural Net,Augmented,0.07 (0.004),2.46 (0.020),0.58,0.07,0.004,2.46,0.02
s2,s2_7,Random Forest,Standard,0.09 (0.003),4.13 (0.042),0.43,0.09,0.003,4.13,0.042
s2,s2_7,Random Forest,Classwise,0.02 (0.002),4.76 (0.058),0.43,0.02,0.002,4.76,0.058
s2,s2_7,Random Forest,Clustered,0.10 (0.003),4.07 (0.044),0.43,0.1,0.003,4.07,0.044
s2,s2_7,Random Forest,Augmented,0.01 (0.002),4.78 (0.033),0.43,0.01,0.002,4.78,0.033
s2,s2_7,XGBoost,Standard,0.05 (0.003),2.35 (0.030),0.65,0.05,0.003,2.35,0.03
s2,s2_7,XGBoost,Classwise,0.01 (0.001),2.88 (0.041),0.65,0.01,0.001,2.88,0.041
s2,s2_7,XGBoost,Clustered,0.05 (0.003),2.37 (0.030),0.65,0.05,0.003,2.37,0.03
s2,s2_7,XGBoost,Augmented,0.02 (0.002),2.55 (0.023),0.65,0.02,0.002,2.55,0.023
s2,s2_7,MLP Neural Net,Standard,0.03 (0.001),2.95 (0.013),0.54,0.03,0.001,2.95,0.013
