Scenario,Experiment,Model,Method,CovGap,AvgSize,F1 Score,CovGap_mean,CovGap_se,AvgSize_mean,AvgSize_se
s3,s3_4,MLP Neural Net,Augmented,0.03 (0.006),1.19 (0.010),0.85,0.03,0.006,1.19,0.01
s3,s3_5,Random Forest,Standard,0.20 (0.009),5.29 (0.079),0.12,0.2,0.009,5.29,0.079
s3,s3_5,Random Forest,Classwise,0.03 (0.008),6.64 (0.111),0.12,0.03,0.008,6.64,0.111
s3,s3_5,Random Forest,Clustered,0.22 (0.009),5.12 (0.072),0.12,0.22,0.009,5.12,0.072
s3,s3_5,Random Forest,Augmented,0.04 (0.005),6.72 (0.026),0.12,0.04,0.005,6.72,0.026
s3,s3_5,XGBoost,Standard,0.17 (0.007),3.80 (0.070),0.32,0.17,0.007,3.8,0.07
s3,s3_5,XGBoost,Classwise,0.04 (0.008),4.75 (0.128),0.32,0.04,0.008,4.75,0.128
s3,s3_5,XGBoost,Clustered,0.18 (0.008),3.70 (0.075),0.32,0.18,0.008,3.7,0.075
s3,s3_5,XGBoost,Augmented,0.03 (0.005),4.70 (0.030),0.32,0.03,0.005,4.7,0.03
s3,s3_5,MLP Neural Net,Standard,0.11 (0.006),2.66 (0.039),0.50,0.11,0.006,2.66,0.039
s3,s3_5,MLP Neural Net,Classwise,0.05 (0.006),3.65 (0.068),0.50,0.05,0.006,3.65,0.068
s3,s3_5,MLP Neural Net,Clustered,0.11 (0.006),2.64 (0.038),0.50,0.11,0.006,2.64,0.038
s3,s3_5,MLP Neural Net,Augmented,0.08 (0.004),2.67 (0.016),0.50,0.08,0.004,2.67,0.016
s3,s3_6,Random Forest,Standard,0.10 (0.003),2.50 (0.022),0.51,0.1,0.003,2.5,0.022
s3,s3_6,Random Forest,Classwise,0.01 (0.002),3.06 (0.038),0.51,0.01,0.002,3.06,0.038
s3,s3_6,Random Forest,Clustered,0.10 (0.004),2.53 (0.023),0.51,0.1,0.004,2.53,0.023
s3,s3_6,Random Forest,Augmented,0.02 (0.003),2.88 (0.019),0.51,0.02,0.003,2.88,0.019
s3,s3_6,XGBoost,Standard,0.08 (0.004),2.43 (0.020),0.53,0.08,0.004,2.43,0.02
s3,s3_6,XGBoost,Classwise,0.01 (0.003),2.81 (0.030),0.53,0.01,0.003,2.81,0.03
s3,s3_6,XGBoost,Clustered,0.08 (0.004),2.44 (0.021),0.53,0.08,0.004,2.44,0.021
s3,s3_6,XGBoost,Augmented,0.02 (0.003),2.61 (0.017),0.53,0.02,0.003,2.61,0.017
s3,s3_6,MLP Neural Net,Standard,0.06 (0.003),1.97 (0.017),0.64,0.06,0.003,1.97,0.017
s3,s3_6,MLP Neural Net,Classwise,0.02 (0.003),2.18 (0.020),0.64,0.02,0.003,2.18,0.02
s3,s3_6,MLP Neural Net,Clustered,0.06 (0.003),1.97 (0.018),0.64,0.06,0.003,1.97,0.018
s3,s3_6,MLP Neural Net,Augmented,0.02 (0.003),2.05 (0.014),0.64,0.02,0.003,2.05,0.014
s3,s3_7,Random Forest,Standard,0.13 (0.004),2.92 (0.024),0.42,0.13,0.004,2.92,0.024
s3,s3_7,Random Forest,Classwise,0.01 (0.003),3.62 (0.039),0.42,0.01,0.003,3.62,0.039
s3,s3_7,Random Forest,Clustered,0.13 (0.004),2.93 (0.025),0.42,0.13,0.004,2.93,0.025
s3,s3_7,Random Forest,Augmented,0.02 (0.002),3.67 (0.022),0.42,0.02,0.002,3.67,0.022
s3,s3_7,XGBoost,Standard,0.10 (0.004),2.63 (0.023),0.51,0.1,0.004,2.63,0.023
s3,s3_7,XGBoost,Classwise,0.02 (0.003),3.17 (0.032),0.51,0.02,0.003,3.17,0.032
s3,s3_7,XGBoost,Clustered,0.10 (0.004),2.63 (0.024),0.51,0.1,0.004,2.63,0.024
s3,s3_7,XGBoost,Augmented,0.02 (0.003),2.88 (0.019),0.51,0.02,0.003,2.88,0.019
s3,s3_7,MLP Neural Net,Standard,0.06 (0.003),2.06 (0.016),0.62,0.06,0.003,2.06,0.016
s3,s3_7,MLP Neural Net,Classwise,0.01 (0.003),2.32 (0.023),0.62,0.01,0.003,2.32,0.023
s3,s3_7,MLP Neural Net,Clustered,0.06 (0.003),2.07 (0.017),0.62,0.06,0.003,2.07,0.017
s3,s3_7,MLP Neural Net,Augmented,0.02 (0.003),2.15 (0.015),0.62,0.02,0.003,2.15,0.015
s3,s3_8,Random Forest,Standard,0.20 (0.003),4.34 (0.027),0.17,0.2,0.003,4.34,0.027
s3,s3_8,Random Forest,Classwise,0.02 (0.004),5.47 (0.050),0.17,0.02,0.004,5.47,0.05
s3,s3_8,Random Forest,Clustered,0.21 (0.003),4.31 (0.029),0.17,0.21,0.003,4.31,0.029
s3,s3_8,Random Forest,Augmented,0.02 (0.002),5.88 (0.027),0.17,0.02,0.002,5.88,0.027
s3,s3_8,XGBoost,Standard,0.13 (0.003),3.07 (0.023),0.41,0.13,0.003,3.07,0.023
s3,s3_8,XGBoost,Classwise,0.02 (0.003),3.79 (0.041),0.41,0.02,0.003,3.79,0.041
s3,s3_8,XGBoost,Clustered,0.13 (0.003),3.05 (0.024),0.41,0.13,0.003,3.05,0.024
s3,s3_8,XGBoost,Augmented,0.03 (0.003),3.50 (0.023),0.41,0.03,0.003,3.5,0.023
s3,s3_8,MLP Neural Net,Standard,0.06 (0.001),3.30 (0.013),0.43,0.06,0.001,3.3,0.013
s3,s3_8,MLP Neural Net,Classwise,0.02 (0.002),3.89 (0.081),0.43,0.02,0.002,3.89,0.081
s3,s3_8,MLP Neural Net,Clustered,0.06 (0.002),3.30 (0.013),0.43,0.06,0.002,3.3,0.013
s3,s3_8,MLP Neural Net,Augmented,0.03 (0.001),3.43 (0.010),0.43,0.03,0.001,3.43,0.01
